# BJD(TDB)-2450000 flux err airmass sky dx dy baserun
6518.034070 1.010112 0.009949 1.3092 129.5 0.085 0.905 MTOTG0001166557
6518.034450 1.002039 0.009927 1.3082 129.1 -1.542 1.025 MTOTG0001166558
6518.034837 0.998898 0.009923 1.3072 128.6 -0.808 1.094 MTOTG0001166559
6518.035217 1.015654 0.010165 1.3062 128.2 0.626 0.529 MTOTG0001166560
6518.035604 1.006563 0.009830 1.3052 128.0 1.139 0.761 MTOTG0001166561
6518.035984 1.003145 0.009820 1.3042 127.0 1.071 0.630 MTOTG0001166562
6518.036369 0.997900 0.009772 1.3032 126.7 1.207 0.796 MTOTG0001166563
6518.036750 0.994617 0.009763 1.3023 125.8 0.349 0.869 MTOTG0001166564
6518.037136 1.014518 0.010016 1.3013 125.2 -1.963 0.744 MTOTG0001166565
6518.037517 1.019116 0.009900 1.3003 124.4 -1.638 0.811 MTOTG0001166566
6518.037903 1.011311 0.009800 1.2994 123.5 0.095 0.906 MTOTG0001166567
6518.038283 1.005379 0.009642 1.2985 122.6 0.936 0.773 MTOTG0001166568
6518.038669 0.999826 0.009585 1.2975 122.0 0.819 0.789 MTOTG0001166569
6518.039050 0.995663 0.009744 1.2966 121.2 1.219 0.757 MTOTG0001166570
6518.039435 1.001358 0.009668 1.2957 120.2 0.294 0.649 MTOTG0001166571
6518.039815 0.999049 0.009734 1.2948 119.1 -1.516 0.624 MTOTG0001166572
6518.040201 1.022925 0.009697 1.2939 118.7 -1.915 0.842 MTOTG0001166573
6518.040581 1.012685 0.009670 1.2931 118.2 -0.385 0.846 MTOTG0001166574
6518.040967 1.000439 0.011440 1.2922 117.6 0.592 0.895 MTOTG0001166575
6518.041347 1.012555 0.009582 1.2913 117.1 0.979 0.616 MTOTG0001166576
6518.041733 0.987619 0.009427 1.2904 116.5 1.124 0.598 MTOTG0001166577
6518.042114 1.005340 0.009530 1.2896 115.9 0.805 0.688 MTOTG0001166578
6518.042499 0.998274 0.009569 1.2888 115.6 -0.890 0.750 MTOTG0001166579
6518.042880 1.010095 0.009615 1.2879 115.2 -1.951 0.371 MTOTG0001166580
6518.043266 0.998460 0.009508 1.2871 114.8 -0.687 0.319 MTOTG0001166581
6518.043647 0.995240 0.009526 1.2863 113.7 0.915 0.484 MTOTG0001166582
6518.044032 1.001608 0.009571 1.2855 113.1 0.918 0.588 MTOTG0001166583
6518.044413 1.008044 0.009489 1.2847 112.7 0.845 0.769 MTOTG0001166584
6518.044798 1.019923 0.009655 1.2839 112.0 0.455 0.506 MTOTG0001166585
6518.045179 1.001856 0.009721 1.2832 112.0 -0.985 0.614 MTOTG0001166586
6518.045565 0.990609 0.009480 1.2824 111.4 -2.985 0.692 MTOTG0001166587
6518.045946 1.005125 0.009707 1.2816 111.0 -1.760 0.695 MTOTG0001166588
6518.046332 1.004421 0.009622 1.2809 110.0 -0.254 0.696 MTOTG0001166589
6518.046713 0.998807 0.009628 1.2802 109.3 0.395 0.463 MTOTG0001166590
6518.047098 1.000000 0.009546 1.2794 108.3 0.377 0.544 MTOTG0001166591
6518.047479 0.989711 0.009564 1.2787 107.8 0.553 0.426 MTOTG0001166592
6518.047866 1.011644 0.009835 1.2780 106.9 -0.351 0.302 MTOTG0001166593
6518.048246 1.017298 0.009625 1.2773 105.9 -2.377 0.540 MTOTG0001166594
6518.048633 0.992159 0.009549 1.2766 105.1 -1.026 0.547 MTOTG0001166595
6518.049013 0.996755 0.009512 1.2759 103.9 0.686 0.563 MTOTG0001166596
6518.049399 0.999986 0.009542 1.2752 102.6 1.319 0.711 MTOTG0001166597
6518.049780 1.016547 0.009604 1.2746 101.4 1.378 0.551 MTOTG0001166598
6518.050166 1.007604 0.009581 1.2738 100.6 1.615 0.710 MTOTG0001166599
6518.050546 1.002056 0.009618 1.2732 100.4 0.888 0.887 MTOTG0001166600
6518.050933 1.004950 0.009829 1.2725 100.3 -1.328 0.512 MTOTG0001166601
6518.051313 1.014260 0.009691 1.2719 100.2 -1.124 0.731 MTOTG0001166602
6518.051700 1.004360 0.009758 1.2713 97.7 0.379 0.520 MTOTG0001166603
6518.052080 0.995002 0.009787 1.2707 97.2 1.550 0.394 MTOTG0001166604
6518.052466 1.003685 0.009745 1.2700 97.1 1.248 0.611 MTOTG0001166605
6518.052847 0.990500 0.010073 1.2694 96.9 0.756 0.329 MTOTG0001166606
6518.053233 0.996517 0.009986 1.2688 96.7 0.439 0.462 MTOTG0001166607
6518.053613 1.014880 0.010141 1.2682 96.3 -1.494 0.633 MTOTG0001166608
6518.054000 0.993817 0.009864 1.2676 96.0 -2.289 0.590 MTOTG0001166609
6518.054380 0.991427 0.009955 1.2671 95.9 -0.831 0.710 MTOTG0001166610
