# BJD(TDB)-2450000 flux err airmass sky dx dy baserun
6573.267144 1.004916 0.002285 1.1723 342.9 1.105 1.152 j131007_0211
6573.267405 1.004722 0.002283 1.1725 338.7 1.644 0.735 j131007_0212
6573.267675 1.007089 0.002289 1.1729 336.1 1.297 1.481 j131007_0213
6573.267941 1.004378 0.002285 1.1732 340.3 2.317 -0.115 j131007_0214
6573.268203 1.010273 0.002292 1.1735 337.4 -1.788 1.429 j131007_0215
6573.268473 1.002977 0.002283 1.1738 333.6 1.962 1.591 j131007_0216
6573.268743 1.005178 0.002289 1.1742 335.0 2.121 0.463 j131007_0217
6573.269013 1.006564 0.002290 1.1745 333.4 -0.939 1.132 j131007_0218
6573.269276 1.004383 0.002285 1.1748 333.4 -0.654 1.545 j131007_0219
6573.269540 1.003673 0.002280 1.1751 329.5 0.045 0.448 j131007_0220
6573.269804 1.001717 0.002287 1.1755 329.6 -0.814 1.926 j131007_0221
6573.270084 1.007222 0.002294 1.1759 326.8 0.053 1.272 j131007_0222
6573.270344 1.004275 0.002283 1.1762 324.4 -0.606 0.495 j131007_0223
6573.270608 1.006517 0.002287 1.1765 322.7 0.136 1.229 j131007_0224
6573.270868 1.006730 0.002285 1.1769 320.7 -0.045 0.871 j131007_0225
6573.271131 1.006907 0.002287 1.1772 319.7 0.522 1.263 j131007_0226
6573.271392 1.003219 0.002280 1.1776 315.9 0.445 1.203 j131007_0227
6573.271652 1.002281 0.002283 1.1780 316.8 0.526 1.253 j131007_0228
6573.271911 1.006055 0.002289 1.1783 315.5 1.409 0.666 j131007_0229
6573.272181 1.006721 0.002289 1.1787 318.3 1.231 1.126 j131007_0230
6573.272444 1.000242 0.002278 1.1790 318.7 1.203 0.524 j131007_0231
6573.272706 1.007160 0.002302 1.1794 320.6 1.202 2.345 j131007_0232
6573.272970 1.002436 0.002287 1.1798 318.3 1.496 0.808 j131007_0233
6573.273232 1.005570 0.002294 1.1802 319.8 1.703 0.772 j131007_0234
6573.273495 1.007482 0.002290 1.1806 315.8 0.989 1.870 j131007_0235
6573.273756 1.008814 0.002292 1.1809 311.1 2.218 0.896 j131007_0236
6573.274027 1.003524 0.002287 1.1813 309.1 -1.230 1.446 j131007_0237
6573.274291 1.005860 0.002287 1.1817 305.2 2.205 1.358 j131007_0238
6573.274554 1.005320 0.002287 1.1821 305.5 -0.030 0.746 j131007_0239
6573.274817 1.007264 0.002290 1.1825 304.7 -0.065 0.914 j131007_0240
6573.275079 1.009269 0.002294 1.1829 303.6 -0.613 2.139 j131007_0241
6573.275342 1.004184 0.002289 1.1833 308.9 -1.088 1.062 j131007_0242
6573.275604 1.003649 0.002283 1.1838 301.0 -0.673 0.993 j131007_0243
6573.275876 1.006432 0.002287 1.1842 304.1 -0.156 1.165 j131007_0244
6573.276136 1.006733 0.002292 1.1846 301.4 -0.314 1.387 j131007_0245
6573.276398 1.004551 0.002289 1.1850 303.7 -1.275 1.275 j131007_0246
6573.276661 1.004791 0.002287 1.1854 300.7 3.357 1.262 j131007_0247
6573.276931 1.007402 0.002292 1.1859 299.1 0.384 1.124 j131007_0248
6573.277192 1.004421 0.002287 1.1863 298.3 0.840 1.242 j131007_0249
6573.277452 1.002659 0.002278 1.1867 295.7 0.800 0.976 j131007_0250
6573.277712 1.003850 0.002285 1.1872 296.5 0.793 0.268 j131007_0251
6573.277975 1.005752 0.002287 1.1876 290.5 0.167 2.320 j131007_0252
6573.278238 1.007269 0.002290 1.1881 290.2 0.365 0.847 j131007_0253
6573.278498 1.005120 0.002287 1.1885 288.4 1.005 0.759 j131007_0254
6573.278763 1.005087 0.002287 1.1890 285.4 1.113 0.913 j131007_0255
6573.279026 1.004918 0.002287 1.1894 285.6 0.558 1.692 j131007_0256
6573.279289 1.002770 0.002283 1.1899 283.6 1.170 1.395 j131007_0257
6573.279550 1.005558 0.002287 1.1903 283.7 1.169 0.831 j131007_0258
6573.279813 1.005417 0.002289 1.1908 286.8 1.048 1.329 j131007_0259
6573.280073 1.003275 0.002287 1.1913 286.9 1.470 1.389 j131007_0260
6573.280344 1.010356 0.002299 1.1918 283.5 1.781 0.943 j131007_0261
6573.280612 1.001983 0.002287 1.1922 288.5 1.338 1.318 j131007_0262
6573.280876 1.004741 0.002290 1.1927 285.4 1.385 1.170 j131007_0263
6573.281137 1.004014 0.002290 1.1932 280.0 1.768 1.610 j131007_0264
6573.281399 1.000928 0.002287 1.1937 274.0 2.021 1.139 j131007_0265
6573.281663 1.004909 0.002290 1.1942 274.0 2.019 1.285 j131007_0266
6573.281925 1.005987 0.002299 1.1947 271.4 2.614 0.974 j131007_0267
6573.282189 1.003770 0.002289 1.1952 264.8 -0.700 1.004 j131007_0268
6573.282451 0.998219 0.002277 1.1957 261.7 -1.072 1.264 j131007_0269
6573.282715 0.998964 0.002277 1.1962 260.6 -1.165 2.199 j131007_0270
6573.282987 0.998961 0.002280 1.1967 263.6 -0.969 1.499 j131007_0271
6573.283248 1.001615 0.004497 1.1972 263.2 -1.166 1.708 j131007_0272
6573.283510 1.000123 0.002283 1.1977 266.5 -1.009 0.613 j131007_0273
6573.283789 1.000578 0.002294 1.1983 268.0 -1.594 2.015 j131007_0274
6573.284053 0.996533 0.002294 1.1988 268.7 1.637 2.445 j131007_0275
6573.284315 0.997531 0.002289 1.1993 273.4 2.181 -0.145 j131007_0276
6573.284587 1.000311 0.002301 1.1999 274.1 -0.853 0.469 j131007_0277
6573.284850 0.995136 0.002290 1.2004 273.0 -1.121 1.475 j131007_0278
6573.285114 1.000582 0.002296 1.2010 272.5 -0.313 1.055 j131007_0279
6573.285377 0.995555 0.002292 1.2015 271.4 -0.683 0.890 j131007_0280
6573.285637 0.996679 0.002294 1.2021 263.9 -1.465 2.402 j131007_0281
6573.285901 0.994248 0.002290 1.2026 265.2 2.469 1.489 j131007_0282
