# BJD(TDB)-2450000 flux err airmass sky dx dy baserun
6557.982438 0.977552 0.002142 1.2490 662.8 -0.364 -0.233 ISL00192773
6557.983028 0.979639 0.002141 1.2500 672.2 0.086 -0.407 ISL00192774
6557.983618 0.978653 0.002142 1.2500 674.2 0.171 -0.346 ISL00192775
6557.984207 0.977597 0.002142 1.2500 672.9 -0.114 -0.474 ISL00192776
6557.984797 0.978555 0.002151 1.2510 687.6 -0.075 -0.336 ISL00192777
6557.985388 0.979544 0.002146 1.2510 687.6 -0.407 -0.570 ISL00192778
6557.985978 0.977303 0.002138 1.2520 680.3 -0.138 -0.177 ISL00192779
6557.986568 0.979612 0.002142 1.2520 667.4 -0.018 -0.777 ISL00192780
6557.987158 0.979018 0.002138 1.2520 662.5 0.210 0.412 ISL00192781
6557.987821 0.978442 0.002124 1.2530 659.5 -0.832 -0.586 ISL00192782
6557.988412 0.978984 0.002121 1.2540 652.9 -0.517 -0.108 ISL00192783
6557.989002 0.977036 0.002118 1.2540 655.8 -0.468 0.316 ISL00192784
6557.989591 0.977417 0.002120 1.2550 653.6 -0.039 0.125 ISL00192785
6557.990183 0.977703 0.002118 1.2550 653.4 -0.485 -0.889 ISL00192786
6557.990773 0.977203 0.002110 1.2560 650.5 -0.664 -0.434 ISL00192787
6557.991363 0.979489 0.002114 1.2560 651.3 -0.392 -0.522 ISL00192788
6557.991953 0.978758 0.002115 1.2570 653.9 -0.784 -0.075 ISL00192789
6557.992541 0.978708 0.002111 1.2580 655.3 -0.671 -0.573 ISL00192790
6557.993131 0.977212 0.002111 1.2580 654.6 -0.667 -0.471 ISL00192791
6557.993771 0.978972 0.002110 1.2590 645.2 -0.435 -0.609 ISL00192792
6557.994361 0.981564 0.002118 1.2600 639.3 -0.135 0.019 ISL00192793
6557.994951 0.977240 0.002105 1.2600 640.1 -0.423 -0.068 ISL00192794
6557.995541 0.977762 0.002105 1.2610 644.4 -0.785 -0.633 ISL00192795
6557.996131 0.977930 0.002111 1.2620 645.4 -0.013 0.196 ISL00192796
6557.996721 0.978823 0.002115 1.2630 641.2 -0.612 -0.495 ISL00192797
6557.997311 0.979966 0.002125 1.2630 644.8 -0.602 -0.108 ISL00192798
6557.997901 0.977508 0.002118 1.2640 645.7 0.008 -0.430 ISL00192799
6557.998491 0.974253 0.002110 1.2650 649.2 -0.890 -0.388 ISL00192800
6557.999082 0.978547 0.002120 1.2660 653.8 -0.582 0.432 ISL00192801
6557.999735 0.979035 0.002121 1.2670 659.5 -0.219 0.027 ISL00192802
6558.000325 0.979692 0.002124 1.2680 654.8 -0.203 -0.116 ISL00192803
6558.000915 0.975367 0.002114 1.2690 650.8 -0.385 0.032 ISL00192804
6558.001505 0.978121 0.002124 1.2700 648.6 -0.295 -0.702 ISL00192805
6558.002095 0.976631 0.002110 1.2710 643.3 -0.432 0.046 ISL00192806
6558.002743 0.979688 0.002130 1.2720 643.1 -0.517 -0.085 ISL00192807
6558.003333 0.976694 0.002120 1.2730 644.2 -0.475 -0.388 ISL00192808
6558.003923 0.976591 0.002111 1.2740 642.7 -0.847 -0.205 ISL00192809
6558.004513 0.978092 0.002118 1.2750 641.6 -0.653 -0.297 ISL00192810
6558.005102 0.979777 0.002124 1.2760 634.3 -0.489 0.522 ISL00192811
6558.005742 0.977231 0.002118 1.2770 638.4 -0.509 -0.336 ISL00192812
6558.006332 0.975978 0.002114 1.2780 653.5 -0.083 -0.389 ISL00192813
6558.006922 0.978059 0.002124 1.2790 653.3 -0.570 -0.825 ISL00192814
6558.007512 0.978830 0.002124 1.2800 635.7 -0.463 0.799 ISL00192815
6558.008102 0.979529 0.002115 1.2810 617.7 -0.675 -0.793 ISL00192816
6558.008692 0.978536 0.002118 1.2820 619.2 -0.003 -0.262 ISL00192817
6558.009282 0.980092 0.002121 1.2840 623.4 -0.533 0.564 ISL00192818
6558.009873 0.982286 0.002130 1.2850 626.9 0.075 0.043 ISL00192819
6558.010463 0.980563 0.002134 1.2860 626.6 -0.648 -0.617 ISL00192820
6558.011053 0.978934 0.002120 1.2870 610.2 -0.978 -0.053 ISL00192821
6558.011683 0.978417 0.002111 1.2890 602.3 0.149 0.069 ISL00192822
6558.012273 0.979281 0.002111 1.2900 599.9 0.019 0.047 ISL00192823
6558.012863 0.978634 0.002111 1.2910 600.8 -0.565 0.233 ISL00192824
6558.013453 0.977183 0.002124 1.2930 616.1 -0.624 -0.457 ISL00192825
6558.014043 0.979415 0.002120 1.2940 602.6 0.158 -0.283 ISL00192826
6558.014633 0.978237 0.002121 1.2950 607.5 -0.546 0.146 ISL00192827
6558.015223 0.978421 0.002132 1.2970 616.5 0.153 -0.145 ISL00192828
6558.015814 0.977725 0.002125 1.2980 609.8 -0.612 0.311 ISL00192829
6558.016404 0.979681 0.002121 1.3000 597.9 -0.621 0.163 ISL00192830
6558.016994 0.982042 0.002124 1.3010 594.1 -0.600 -0.256 ISL00192831
6558.017627 0.981002 0.002121 1.3030 594.4 -0.606 0.067 ISL00192832
6558.018216 0.983248 0.002132 1.3040 596.6 -0.446 0.502 ISL00192833
6558.018806 0.986534 0.002145 1.3060 600.0 0.015 -0.528 ISL00192834
6558.019396 0.986949 0.002152 1.3070 608.3 -0.169 -0.034 ISL00192835
6558.019986 0.988881 0.002161 1.3090 612.9 -0.528 0.172 ISL00192836
6558.020575 0.987485 0.002156 1.3100 610.6 -0.008 -0.299 ISL00192837
6558.021166 0.990360 0.002173 1.3120 610.1 -0.383 0.158 ISL00192838
6558.021755 0.990240 0.002183 1.3140 619.5 -0.339 -0.874 ISL00192839
6558.022344 0.992798 0.002189 1.3150 626.8 -0.399 0.285 ISL00192840
6558.022935 0.995840 0.002200 1.3170 625.8 -0.408 -0.055 ISL00192841
6558.026525 1.006806 0.002270 1.3280 643.0 -0.544 0.436 ISL00192847
6558.027115 1.003750 0.002250 1.3300 650.7 -0.569 0.095 ISL00192848
6558.027705 1.004050 0.002432 1.3310 638.1 -0.243 -1.380 ISL00192849
6558.028295 1.007082 0.002265 1.3330 639.6 -0.488 0.354 ISL00192850
6558.028885 1.007996 0.002270 1.3350 638.5 -0.013 -0.401 ISL00192851
6558.029517 1.011366 0.002284 1.3370 640.6 -0.174 -0.060 ISL00192852
6558.030107 1.006987 0.002268 1.3390 634.7 -0.102 -1.379 ISL00192853
6558.030697 1.012332 0.002298 1.3410 638.4 -0.488 -0.423 ISL00192854
6558.031286 1.008440 0.002268 1.3430 633.8 -0.463 -0.541 ISL00192855
6558.031876 1.004357 0.002257 1.3450 632.2 -0.646 -0.313 ISL00192856
6558.032466 1.007990 0.002271 1.3470 618.3 0.506 -0.721 ISL00192857
6558.033056 1.005003 0.002265 1.3500 611.3 -0.323 -0.130 ISL00192858
6558.033646 1.006536 0.002278 1.3520 620.5 -0.138 -0.701 ISL00192859
6558.034236 1.007889 0.002302 1.3540 637.9 0.302 -0.876 ISL00192860
6558.034827 1.004150 0.002291 1.3560 645.9 0.326 -0.112 ISL00192861
6558.035467 1.002308 0.002291 1.3580 642.4 -0.711 -0.030 ISL00192862
6558.036057 1.008298 0.002305 1.3610 635.3 -0.264 -0.201 ISL00192863
6558.036647 1.006526 0.002301 1.3630 631.7 -0.512 -0.362 ISL00192864
6558.037237 1.007941 0.002311 1.3650 637.9 0.006 -0.671 ISL00192865
6558.037827 1.006453 0.002306 1.3670 630.2 -0.400 -0.230 ISL00192866
6558.038417 1.005497 0.002298 1.3700 616.5 -1.190 -0.694 ISL00192867
6558.039006 1.004203 0.002296 1.3720 610.6 0.386 0.091 ISL00192868
6558.039597 1.006235 0.002311 1.3750 609.8 -0.294 -0.044 ISL00192869
6558.040186 1.002019 0.002306 1.3770 615.9 -0.283 -0.276 ISL00192870
6558.040777 1.007906 0.002333 1.3790 615.6 -0.085 -0.485 ISL00192871
6558.041417 1.006802 0.002323 1.3820 605.4 -0.805 0.342 ISL00192872
6558.042007 1.009104 0.002329 1.3850 597.8 -0.343 -0.574 ISL00192873
6558.042597 1.005443 0.002323 1.3870 595.6 -0.424 -0.045 ISL00192874
6558.043187 1.009544 0.002332 1.3900 590.6 0.192 0.241 ISL00192875
6558.043776 1.004990 0.002323 1.3920 581.9 0.223 -0.042 ISL00192876
6558.044366 1.007180 0.002326 1.3950 581.0 -0.344 -0.132 ISL00192877
6558.044956 1.004364 0.002325 1.3980 584.6 -0.599 -0.647 ISL00192878
6558.045546 1.004937 0.002329 1.4000 588.2 -0.104 0.195 ISL00192879
6558.046136 1.004745 0.002332 1.4030 584.8 -0.553 0.050 ISL00192880
6558.046726 1.005696 0.002332 1.4060 570.5 -0.289 -0.381 ISL00192881
6558.047366 1.006913 0.002335 1.4090 562.2 -0.338 -0.243 ISL00192882
6558.047957 1.006212 0.002342 1.4120 555.2 -0.026 -0.047 ISL00192883
6558.048547 1.005817 0.002339 1.4140 551.2 -0.172 -0.366 ISL00192884
6558.049136 1.000975 0.002333 1.4170 557.8 -0.186 -0.513 ISL00192885
6558.049726 1.005518 0.002352 1.4200 558.9 0.218 -0.145 ISL00192886
6558.050316 1.007267 0.002366 1.4230 559.2 -0.832 -0.047 ISL00192887
6558.050906 1.001655 0.002358 1.4260 565.8 -0.055 -0.636 ISL00192888
6558.051496 1.003275 0.002369 1.4290 569.3 -0.237 0.156 ISL00192889
6558.052086 1.004625 0.002380 1.4320 573.0 -0.298 -1.025 ISL00192890
6558.052676 1.003890 0.002384 1.4350 577.5 -0.455 -0.298 ISL00192891
6558.053316 1.008922 0.002394 1.4390 572.1 0.023 -0.705 ISL00192892
6558.053907 1.004073 0.002387 1.4420 572.1 -0.449 -0.138 ISL00192893
6558.054497 1.003385 0.002393 1.4450 573.6 -0.465 0.172 ISL00192894
6558.055087 1.004773 0.002403 1.4480 573.0 -0.203 -0.518 ISL00192895
6558.055678 1.006385 0.002415 1.4510 579.5 0.305 -0.189 ISL00192896
6558.056268 1.006672 0.002421 1.4550 583.4 -0.331 -0.578 ISL00192897
6558.056857 1.004376 0.002425 1.4580 592.3 -0.382 0.037 ISL00192898
6558.057447 1.004050 0.002432 1.4610 596.1 -0.697 -0.717 ISL00192899
6558.058038 1.008143 0.002442 1.4650 580.4 0.328 -0.867 ISL00192900
6558.058628 1.006897 0.002434 1.4680 575.3 -0.212 -0.552 ISL00192901
6558.059257 1.005232 0.002435 1.4720 577.9 -0.394 -0.505 ISL00192902
6558.059846 1.004222 0.002442 1.4750 582.2 -0.227 -0.085 ISL00192903
6558.061026 1.004474 0.002458 1.4820 584.1 0.002 0.085 ISL00192905
6558.061616 1.003336 0.002458 1.4860 582.2 -0.410 -0.447 ISL00192906
6558.062205 1.005707 0.002478 1.4900 588.1 -0.806 0.378 ISL00192907
6558.062795 1.002116 0.002483 1.4930 602.9 -0.194 -0.073 ISL00192908
6558.063385 1.004107 0.002479 1.4970 585.6 -0.571 -0.504 ISL00192909
6558.063975 1.001674 0.002471 1.5010 582.4 0.042 -0.606 ISL00192910
6558.064566 1.005376 0.002496 1.5050 585.9 0.322 -0.228 ISL00192911
6558.065206 1.001930 0.002483 1.5090 584.2 -0.437 -0.013 ISL00192912
6558.065796 1.003296 0.002496 1.5130 587.4 -0.938 0.056 ISL00192913
6558.066386 1.003038 0.002506 1.5170 595.1 -0.278 0.238 ISL00192914
6558.066976 1.002367 0.002520 1.5210 601.4 -0.429 0.135 ISL00192915
6558.067566 1.006481 0.002537 1.5250 602.4 -0.214 0.017 ISL00192916
6558.068155 1.004124 0.002530 1.5290 601.8 -0.100 -0.048 ISL00192917
6558.068745 1.002415 0.002529 1.5330 596.2 -0.852 0.236 ISL00192918
6558.069335 0.999568 0.002530 1.5370 599.0 -0.301 0.012 ISL00192919
6558.069926 1.004939 0.002551 1.5410 611.5 -0.368 -0.295 ISL00192920
6558.070516 1.004183 0.002560 1.5450 617.5 -0.819 0.397 ISL00192921
6558.071155 1.006942 0.002580 1.5500 623.2 -0.045 -0.080 ISL00192922
6558.071745 1.001987 0.002571 1.5540 630.6 -0.245 -0.325 ISL00192923
