# BJD(TDB)-2450000 flux err airmass sky dx dy baserun
6557.980493 0.987032 0.004177 1.2485 200.6 1.533 0.308 MTOTI0001188186
6557.980874 0.984592 0.004220 1.2487 199.8 0.269 0.384 MTOTI0001188187
6557.981261 0.982894 0.004199 1.2489 199.2 -1.824 0.320 MTOTI0001188188
6557.981640 0.994017 0.004219 1.2491 199.9 -1.985 0.244 MTOTI0001188189
6557.982026 0.986157 0.004201 1.2493 201.4 -0.357 0.336 MTOTI0001188190
6557.982407 0.987629 0.004190 1.2495 202.1 0.345 0.258 MTOTI0001188191
6557.982793 0.991688 0.004226 1.2497 203.9 0.381 0.245 MTOTI0001188192
6557.983173 0.989838 0.004199 1.2499 205.7 0.697 0.168 MTOTI0001188193
6557.983559 0.989903 0.004209 1.2501 204.5 -0.048 0.337 MTOTI0001188194
6557.983940 0.983318 0.004236 1.2504 204.9 -2.376 0.374 MTOTI0001188195
6557.984326 0.987365 0.004224 1.2506 205.9 -3.153 0.232 MTOTI0001188196
6557.984706 0.992138 0.004245 1.2509 207.7 0.148 0.122 MTOTI0001188197
6557.985092 0.989998 0.004212 1.2511 208.0 1.163 0.092 MTOTI0001188198
6557.985473 0.988876 0.004198 1.2514 206.6 0.720 0.103 MTOTI0001188199
6557.985859 0.986782 0.004199 1.2516 205.9 0.720 -0.038 MTOTI0001188200
6557.986240 0.988330 0.004199 1.2519 207.0 0.489 0.017 MTOTI0001188201
6557.986627 0.980132 0.004213 1.2522 207.0 -0.973 0.057 MTOTI0001188202
6557.987007 0.995013 0.004222 1.2525 207.3 -2.418 0.006 MTOTI0001188203
6557.987393 0.990940 0.004209 1.2528 206.1 -1.299 0.027 MTOTI0001188204
6557.987774 0.992499 0.004206 1.2531 205.7 0.103 0.164 MTOTI0001188205
6557.988160 0.997672 0.004213 1.2534 205.4 -0.213 -0.171 MTOTI0001188206
6557.988540 0.989474 0.004185 1.2538 208.2 -0.775 -0.151 MTOTI0001188207
6557.988926 0.987410 0.004181 1.2541 210.8 0.130 -0.042 MTOTI0001188208
6557.989307 0.995940 0.004209 1.2544 209.9 -1.436 -0.164 MTOTI0001188209
6557.989693 0.993702 0.004196 1.2548 208.3 -3.241 -0.065 MTOTI0001188210
6557.990073 0.986613 0.004175 1.2551 203.8 -2.350 -0.107 MTOTI0001188211
6557.990458 0.985880 0.004178 1.2555 202.6 1.036 -0.110 MTOTI0001188212
6557.990839 0.994266 0.004166 1.2559 202.0 1.243 0.013 MTOTI0001188213
6557.991226 0.995266 0.004164 1.2563 201.4 0.775 -0.064 MTOTI0001188214
6557.991606 0.994862 0.004153 1.2566 200.7 1.070 -0.116 MTOTI0001188215
6557.991991 0.995226 0.004185 1.2570 202.0 -0.110 -0.077 MTOTI0001188216
6557.992371 0.988690 0.004198 1.2574 202.2 -1.319 0.030 MTOTI0001188217
6557.992758 0.989942 0.004159 1.2578 201.9 -0.838 -0.060 MTOTI0001188218
6557.993138 0.991630 0.004152 1.2583 201.7 0.704 0.052 MTOTI0001188219
6557.993523 0.987728 0.004145 1.2587 201.2 1.232 -0.170 MTOTI0001188220
6557.993905 0.990670 0.004144 1.2591 200.8 0.813 -0.004 MTOTI0001188221
6557.994292 0.988257 0.004161 1.2596 200.8 1.528 -0.033 MTOTI0001188222
6557.994671 0.990000 0.004161 1.2600 199.9 0.895 0.050 MTOTI0001188223
6557.995057 0.997167 0.004209 1.2605 200.7 -1.174 -0.008 MTOTI0001188224
6557.995438 0.992095 0.004170 1.2610 202.5 -1.417 -0.020 MTOTI0001188225
6557.995825 0.995665 0.004184 1.2614 206.1 0.030 -0.068 MTOTI0001188226
6557.996205 0.990550 0.004204 1.2619 205.8 1.447 -0.141 MTOTI0001188227
6557.996591 0.998427 0.004188 1.2624 204.0 1.319 -0.295 MTOTI0001188228
6557.996971 0.996279 0.004180 1.2629 203.2 1.398 -0.186 MTOTI0001188229
6557.997358 0.991453 0.004184 1.2634 204.9 1.200 -0.287 MTOTI0001188230
6557.997738 0.992891 0.004203 1.2639 205.2 -0.761 -0.173 MTOTI0001188231
6557.998124 0.996058 0.004209 1.2644 205.2 -2.095 -0.264 MTOTI0001188232
6557.998504 0.988235 0.004174 1.2650 205.3 0.669 -0.295 MTOTI0001188233
6557.998891 0.993551 0.004177 1.2655 204.1 1.979 -0.116 MTOTI0001188234
6557.999271 0.993303 0.004165 1.2660 208.4 1.609 -0.244 MTOTI0001188235
6557.999657 0.994907 0.004175 1.2666 215.6 1.531 -0.322 MTOTI0001188236
6558.000038 0.984430 0.004172 1.2672 216.6 1.764 -0.260 MTOTI0001188237
6558.000424 0.998117 0.004198 1.2677 207.9 0.017 -0.181 MTOTI0001188238
6558.000805 0.994728 0.004166 1.2683 205.7 -1.804 -0.324 MTOTI0001188239
6558.001190 0.991143 0.004166 1.2689 207.3 -0.839 -0.379 MTOTI0001188240
6558.001571 0.987894 0.004164 1.2695 206.8 0.327 -0.182 MTOTI0001188241
6558.001957 0.990765 0.004152 1.2701 202.9 0.462 -0.269 MTOTI0001188242
6558.002338 0.997821 0.004198 1.2707 202.2 0.400 -0.141 MTOTI0001188243
6558.002724 0.986058 0.004154 1.2713 203.4 0.948 -0.078 MTOTI0001188244
6558.003104 0.993690 0.004218 1.2719 203.0 -0.772 -0.187 MTOTI0001188245
6558.003491 0.992267 0.004210 1.2726 202.4 -2.979 -0.192 MTOTI0001188246
6558.003871 0.992703 0.004222 1.2732 201.5 -0.447 -0.231 MTOTI0001188247
6558.004257 0.994963 0.004172 1.2739 201.0 1.049 -0.136 MTOTI0001188248
6558.004637 0.987215 0.004158 1.2745 201.6 1.442 -0.157 MTOTI0001188249
6558.005022 0.999252 0.004192 1.2752 202.1 0.850 -0.174 MTOTI0001188250
6558.005403 0.994565 0.004198 1.2759 203.4 1.286 -0.177 MTOTI0001188251
6558.005789 0.995960 0.004216 1.2766 204.3 0.272 -0.205 MTOTI0001188252
6558.006169 0.993742 0.004225 1.2772 204.6 -2.318 -0.228 MTOTI0001188253
6558.006556 0.993097 0.004197 1.2779 205.0 -2.424 -0.214 MTOTI0001188254
6558.006936 0.993017 0.004193 1.2787 204.3 -1.010 -0.266 MTOTI0001188255
6558.007321 0.993697 0.004194 1.2794 201.9 -0.465 -0.222 MTOTI0001188256
6558.007702 0.988776 0.004171 1.2801 199.9 -0.689 -0.299 MTOTI0001188257
6558.008088 0.991872 0.004164 1.2808 199.4 0.462 -0.393 MTOTI0001188258
6558.008468 0.992770 0.004178 1.2816 200.8 -0.087 -0.352 MTOTI0001188259
6558.008854 0.992890 0.004204 1.2824 200.4 -2.268 -0.339 MTOTI0001188260
6558.009235 0.992869 0.004193 1.2831 198.4 -3.463 -0.464 MTOTI0001188261
6558.009621 0.992460 0.004206 1.2839 196.8 -2.135 -0.414 MTOTI0001188262
6558.010001 1.000000 0.004226 1.2846 197.4 0.553 -0.294 MTOTI0001188263
6558.010387 0.990598 0.004184 1.2854 199.6 0.298 -0.398 MTOTI0001188264
6558.010769 0.995224 0.004199 1.2862 196.4 -0.207 -0.437 MTOTI0001188265
6558.011155 0.992493 0.004190 1.2870 192.4 -0.189 -0.466 MTOTI0001188266
