# BJD(TDB)-2450000 flux err airmass sky dx dy baserun
6557.952136 1.003131 0.008470 1.2563 162.0 1.453 0.032 MTOTG0001188112
6557.952517 1.012632 0.008561 1.2559 164.8 1.541 -0.165 MTOTG0001188113
6557.954816 1.003356 0.008498 1.2538 168.7 2.604 -0.033 MTOTG0001188119
6557.955582 0.993689 0.008384 1.2532 166.3 3.061 0.072 MTOTG0001188121
6557.955969 1.001988 0.008497 1.2529 167.8 1.024 -0.009 MTOTG0001188122
6557.956349 1.017008 0.008600 1.2526 169.4 -1.164 0.068 MTOTG0001188123
6557.956734 1.003128 0.008539 1.2523 170.4 -0.703 -0.021 MTOTG0001188124
6557.957115 1.006122 0.008482 1.2520 170.8 0.698 -0.046 MTOTG0001188125
6557.957882 0.988573 0.008319 1.2514 171.1 1.089 0.187 MTOTG0001188127
6557.958268 1.002326 0.008383 1.2511 172.5 1.910 -0.184 MTOTG0001188128
6557.958648 0.993316 0.008485 1.2509 174.9 1.146 -0.195 MTOTG0001188129
6557.959414 0.994195 0.008334 1.2504 173.5 -1.653 -0.034 MTOTG0001188131
6557.959800 1.009200 0.008499 1.2502 174.1 1.576 -0.427 MTOTG0001188132
6557.960181 0.985652 0.008223 1.2499 174.1 2.642 -0.307 MTOTG0001188133
6557.960567 1.001159 0.008194 1.2497 174.1 2.212 -0.306 MTOTG0001188134
6557.960947 0.983654 0.008161 1.2495 173.7 2.156 -0.418 MTOTG0001188135
6557.961333 1.004207 0.008205 1.2493 173.5 1.972 -0.240 MTOTG0001188136
6557.962100 0.981421 0.008071 1.2489 173.7 -1.282 -0.358 MTOTG0001188138
6557.962480 1.002405 0.008068 1.2487 171.8 -0.141 -0.178 MTOTG0001188139
6557.962867 1.012555 0.008085 1.2485 171.3 1.391 -0.260 MTOTG0001188140
6557.963247 0.976411 0.007914 1.2484 171.2 1.384 -0.222 MTOTG0001188141
6557.963632 1.005889 0.008084 1.2482 171.9 1.445 -0.097 MTOTG0001188142
6557.964013 0.988412 0.007983 1.2481 172.6 1.899 -0.240 MTOTG0001188143
6557.964400 0.995503 0.008029 1.2479 172.9 0.323 -0.206 MTOTG0001188144
6557.964780 0.991318 0.007955 1.2478 173.5 -1.830 0.166 MTOTG0001188145
6557.965166 0.996213 0.008074 1.2476 173.9 -0.249 -0.076 MTOTG0001188146
6557.965546 0.990539 0.008172 1.2475 175.5 1.931 -0.222 MTOTG0001188147
6557.965933 0.980397 0.008110 1.2474 178.6 2.241 -0.373 MTOTG0001188148
6557.967078 0.994900 0.008304 1.2471 183.4 1.010 -0.141 MTOTG0001188151
6557.967464 0.989698 0.008362 1.2470 185.9 -1.129 -0.247 MTOTG0001188152
