# Wavelength[nm] MITSuME_g MITSuME_Rc MITSuME_Ic 2MASS_J IRSF_J IRSF_H IRSF_Ks
528 0.92 0 0 0 0 0 0
529 0.924 0 0 0 0 0 0
530 0.935 0 0 0 0 0 0
531 0.949 0 0 0 0 0 0
532 0.962 0 0 0 0 0 0
533 0.973 0 0 0 0 0 0
534 0.982 0 0 0 0 0 0
535 0.99 0 0 0 0 0 0
536 0.997 0 0 0 0 0 0
537 1 0 0 0 0 0 0
538 0.998 0 0 0 0 0 0
539 0.991 0 0 0 0 0 0
540 0.976 0 0 0 0 0 0
541 0.953 0 0 0 0 0 0
542 0.916 0 0 0 0 0 0
543 0.866 0 0 0 0 0 0
544 0.803 0 0 0 0 0 0
545 0.729 0 0 0 0 0 0
546 0.646 0 0 0 0 0 0
547 0.551 0 0 0 0 0 0
548 0.447 0 0 0 0 0 0
549 0.337 0 0 0 0 0 0
550 0.238 0 0 0 0 0 0
551 0.158 0 0 0 0 0 0
552 0.099 0 0 0 0 0 0
553 0.06 0 0 0 0 0 0
554 0.035 0 0 0 0 0 0
555 0.02 0 0 0 0 0 0
556 0.011 0 0 0 0 0 0
557 0.006 0 0 0 0 0 0
558 0.003 0 0 0 0 0 0
559 0.002 0 0 0 0 0 0
560 0.001 0 0 0 0 0 0
561 0.001 0 0 0 0 0 0
562 0.001 0 0 0 0 0 0
563 0.001 0 0 0 0 0 0
564 0 0 0 0 0 0 0
565 0 0 0 0 0 0 0
566 0 0 0 0 0 0 0
567 0 0 0 0 0 0 0
568 0 0 0 0 0 0 0
569 0 0 0 0 0 0 0
570 0 0 0 0 0 0 0
571 0 0 0 0 0 0 0
572 0 0 0 0 0 0 0
573 0 0 0 0 0 0 0
574 0 0 0 0 0 0 0
575 0 0.001 0 0 0 0 0
576 0 0.002 0 0 0 0 0
577 0 0.004 0 0 0 0 0
578 0 0.008 0 0 0 0 0
579 0 0.018 0 0 0 0 0
580 0 0.035 0 0 0 0 0
581 0 0.067 0 0 0 0 0
582 0 0.111 0 0 0 0 0
583 0 0.158 0 0 0 0 0
584 0 0.2 0 0 0 0 0
585 0 0.238 0 0 0 0 0
586 0 0.286 0 0 0 0 0
587 0 0.369 0 0 0 0 0
588 0 0.493 0 0 0 0 0
589 0 0.598 0 0 0 0 0
590 0 0.668 0 0 0 0 0
591 0 0.718 0 0 0 0 0
592 0 0.756 0 0 0 0 0
593 0 0.786 0 0 0 0 0
594 0 0.809 0 0 0 0 0
595 0 0.83 0 0 0 0 0
596 0 0.847 0 0 0 0 0
597 0 0.861 0 0 0 0 0
598 0 0.872 0 0 0 0 0
599 0 0.88 0 0 0 0 0
600 0 0.887 0 0 0 0 0
601 0 0.895 0 0 0 0 0
602 0 0.906 0 0 0 0 0
603 0 0.917 0 0 0 0 0
604 0 0.927 0 0 0 0 0
605 0 0.937 0 0 0 0 0
606 0 0.945 0 0 0 0 0
607 0 0.953 0 0 0 0 0
608 0 0.96 0 0 0 0 0
609 0 0.966 0 0 0 0 0
610 0 0.972 0 0 0 0 0
611 0 0.976 0 0 0 0 0
612 0 0.978 0 0 0 0 0
613 0 0.98 0 0 0 0 0
614 0 0.982 0 0 0 0 0
615 0 0.985 0 0 0 0 0
616 0 0.988 0 0 0 0 0
617 0 0.991 0 0 0 0 0
618 0 0.995 0 0 0 0 0
619 0 0.999 0 0 0 0 0
620 0 1 0 0 0 0 0
621 0 0.998 0 0 0 0 0
622 0 0.994 0 0 0 0 0
623 0 0.99 0 0 0 0 0
624 0 0.986 0 0 0 0 0
625 0 0.982 0 0 0 0 0
626 0 0.98 0 0 0 0 0
627 0 0.978 0 0 0 0 0
628 0 0.977 0 0 0 0 0
629 0 0.977 0 0 0 0 0
630 0 0.975 0 0 0 0 0
631 0 0.972 0 0 0 0 0
632 0 0.967 0 0 0 0 0
633 0 0.961 0 0 0 0 0
634 0 0.954 0 0 0 0 0
635 0 0.946 0 0 0 0 0
636 0 0.941 0 0 0 0 0
637 0 0.937 0 0 0 0 0
638 0 0.935 0 0 0 0 0
639 0 0.934 0 0 0 0 0
640 0 0.934 0 0 0 0 0
641 0 0.935 0 0 0 0 0
642 0 0.938 0 0 0 0 0
643 0 0.939 0 0 0 0 0
644 0 0.94 0 0 0 0 0
645 0 0.938 0 0 0 0 0
646 0 0.936 0 0 0 0 0
647 0 0.934 0 0 0 0 0
648 0 0.931 0 0 0 0 0
649 0 0.929 0 0 0 0 0
650 0 0.927 0 0 0 0 0
651 0 0.926 0 0 0 0 0
652 0 0.926 0 0 0 0 0
653 0 0.926 0 0 0 0 0
654 0 0.925 0 0 0 0 0
655 0 0.923 0 0 0 0 0
656 0 0.919 0 0 0 0 0
657 0 0.915 0 0 0 0 0
658 0 0.91 0 0 0 0 0
659 0 0.904 0 0 0 0 0
660 0 0.899 0 0 0 0 0
661 0 0.897 0 0 0 0 0
662 0 0.895 0 0 0 0 0
663 0 0.895 0 0 0 0 0
664 0 0.895 0 0 0 0 0
665 0 0.896 0 0 0 0 0
666 0 0.898 0 0 0 0 0
667 0 0.899 0 0 0 0 0
668 0 0.899 0 0 0 0 0
669 0 0.898 0 0 0 0 0
670 0 0.897 0 0 0 0 0
671 0 0.898 0 0 0 0 0
672 0 0.898 0 0 0 0 0
673 0 0.9 0 0 0 0 0
674 0 0.901 0 0 0 0 0
675 0 0.904 0 0 0 0 0
676 0 0.908 0 0 0 0 0
677 0 0.912 0 0 0 0 0
678 0 0.917 0 0 0 0 0
679 0 0.922 0 0 0 0 0
680 0 0.927 0 0 0 0 0
681 0 0.928 0 0 0 0 0
682 0 0.928 0 0 0 0 0
683 0 0.926 0 0 0 0 0
684 0 0.923 0 0 0 0 0
685 0 0.921 0 0 0 0 0
686 0 0.918 0 0 0 0 0
687 0 0.915 0 0 0 0 0
688 0 0.913 0 0 0 0 0
689 0 0.911 0 0 0 0 0
690 0 0.909 0 0 0 0 0
691 0 0.907 0 0 0 0 0
692 0 0.904 0 0 0 0 0
693 0 0.9 0 0 0 0 0
694 0 0.895 0 0 0 0 0
695 0 0.89 0 0 0 0 0
696 0 0.883 0 0 0 0 0
697 0 0.876 0 0 0 0 0
698 0 0.867 0 0 0 0 0
699 0 0.859 0.001 0 0 0 0
700 0 0.85 0.001 0 0 0 0
701 0 0.843 0.001 0 0 0 0
702 0 0.835 0.002 0 0 0 0
703 0 0.83 0.003 0 0 0 0
704 0 0.827 0.006 0 0 0 0
705 0 0.824 0.01 0 0 0 0
