# BJD(TDB)-2450000 flux err airmass sky dx dy baserun
6518.033304 1.004159 0.004438 1.3113 246.8 1.440 0.963 MTOTR0001166555
6518.033684 0.999289 0.004415 1.3103 232.3 1.639 0.808 MTOTR0001166556
6518.034070 1.004595 0.004434 1.3092 244.6 0.418 1.114 MTOTR0001166557
6518.034450 1.003795 0.004435 1.3082 229.8 -1.154 1.246 MTOTR0001166558
6518.034837 0.992724 0.004402 1.3072 215.5 -0.377 1.149 MTOTR0001166559
6518.035217 1.011833 0.004492 1.3062 214.8 0.899 0.604 MTOTR0001166560
6518.035604 1.001758 0.004408 1.3052 227.8 1.425 0.916 MTOTR0001166561
6518.035984 1.007176 0.004419 1.3042 238.7 1.396 0.877 MTOTR0001166562
6518.036369 1.002560 0.004403 1.3032 225.2 1.594 0.780 MTOTR0001166563
6518.036750 0.997684 0.004390 1.3023 236.4 0.781 0.997 MTOTR0001166564
6518.037136 0.997957 0.004431 1.3013 222.4 -1.608 0.753 MTOTR0001166565
6518.037517 1.001257 0.004398 1.3003 207.2 -1.297 0.852 MTOTR0001166566
6518.037903 1.009346 0.004408 1.2994 231.2 0.379 1.022 MTOTR0001166567
6518.038283 0.997882 0.004348 1.2985 229.7 1.260 0.945 MTOTR0001166568
6518.038669 1.003300 0.004348 1.2975 215.0 1.153 0.874 MTOTR0001166569
6518.039050 1.002140 0.004395 1.2966 212.7 1.480 0.775 MTOTR0001166570
6518.039435 1.007494 0.004359 1.2957 223.1 0.928 0.763 MTOTR0001166571
6518.039815 0.999403 0.004348 1.2948 209.1 -1.122 0.803 MTOTR0001166572
6518.040201 1.005127 0.004356 1.2939 208.1 -1.620 0.892 MTOTR0001166573
6518.040581 1.005437 0.004346 1.2931 206.0 -0.078 0.978 MTOTR0001166574
6518.040967 1.002913 0.004321 1.2922 217.0 1.101 0.926 MTOTR0001166575
6518.041347 1.012990 0.004345 1.2913 215.8 1.428 0.640 MTOTR0001166576
6518.041733 1.007123 0.004325 1.2904 202.8 1.509 0.741 MTOTR0001166577
6518.042114 0.999819 0.004305 1.2896 189.4 1.188 0.736 MTOTR0001166578
6518.042499 1.000713 0.004312 1.2888 223.9 -0.493 0.891 MTOTR0001166579
6518.042880 1.011002 0.004349 1.2879 199.5 -1.551 0.573 MTOTR0001166580
6518.043266 1.009524 0.004321 1.2871 198.5 -0.366 0.464 MTOTR0001166581
6518.043647 1.005593 0.004317 1.2863 196.4 1.125 0.787 MTOTR0001166582
6518.044032 0.996753 0.004289 1.2855 195.5 1.295 0.527 MTOTR0001166583
6518.044413 1.002889 0.004296 1.2847 206.3 1.203 0.695 MTOTR0001166584
6518.044798 1.007481 0.004316 1.2839 183.2 0.892 0.677 MTOTR0001166585
6518.045179 1.008181 0.004345 1.2832 205.2 -0.587 0.738 MTOTR0001166586
6518.045565 1.000613 0.004313 1.2824 204.3 -2.482 0.783 MTOTR0001166587
6518.045946 1.006019 0.004338 1.2816 204.0 -1.459 0.837 MTOTR0001166588
6518.046332 1.006708 0.004332 1.2809 202.5 0.129 0.827 MTOTR0001166589
6518.046713 1.002321 0.004330 1.2802 178.2 0.832 0.725 MTOTR0001166590
6518.047098 0.999422 0.004295 1.2794 199.7 0.801 0.579 MTOTR0001166591
6518.047479 1.005168 0.004328 1.2787 188.2 0.988 0.444 MTOTR0001166592
6518.047866 1.007790 0.004361 1.2780 197.5 -0.173 0.461 MTOTR0001166593
6518.048246 0.999520 0.004311 1.2773 206.6 -2.050 0.644 MTOTR0001166594
6518.048633 0.989696 0.004296 1.2766 205.7 -0.604 0.676 MTOTR0001166595
6518.049013 0.996180 0.004302 1.2759 181.8 0.897 0.591 MTOTR0001166596
6518.049399 1.003325 0.004330 1.2752 190.6 1.679 0.594 MTOTR0001166597
6518.049779 1.003103 0.004322 1.2746 188.5 1.784 0.678 MTOTR0001166598
6518.050166 0.999786 0.004317 1.2738 187.1 2.023 0.701 MTOTR0001166599
6518.050546 1.001397 0.004333 1.2732 186.8 1.299 0.851 MTOTR0001166600
6518.050933 0.998327 0.004363 1.2725 176.7 -0.800 0.587 MTOTR0001166601
6518.051313 1.004965 0.004354 1.2719 171.2 -0.613 0.747 MTOTR0001166602
6518.051700 0.999551 0.004353 1.2713 186.5 0.834 0.627 MTOTR0001166603
6518.052080 1.004440 0.004376 1.2707 173.3 1.982 0.654 MTOTR0001166604
6518.052466 1.005435 0.004382 1.2700 183.4 1.624 0.732 MTOTR0001166605
6518.052847 0.995054 0.004413 1.2694 173.2 1.123 0.459 MTOTR0001166606
6518.053233 1.006360 0.004428 1.2688 182.8 0.827 0.600 MTOTR0001166607
6518.053613 1.007455 0.004448 1.2682 182.4 -1.109 0.693 MTOTR0001166608
6518.054000 1.008224 0.004431 1.2676 181.4 -1.929 0.907 MTOTR0001166609
6518.054380 1.004815 0.004430 1.2671 181.8 -0.447 0.934 MTOTR0001166610
6518.054766 1.007737 0.004430 1.2665 169.6 0.748 0.740 MTOTR0001166611
6518.055146 1.005156 0.004940 1.2660 180.0 1.118 0.319 MTOTR0001166612
6518.055533 1.004066 0.004387 1.2654 187.6 1.127 0.358 MTOTR0001166613
6518.055913 0.996845 0.004374 1.2649 165.2 1.313 0.363 MTOTR0001166614
6518.056299 1.003494 0.004382 1.2643 171.3 -0.482 0.353 MTOTR0001166615
6518.056679 1.002101 0.004397 1.2638 151.8 -1.237 0.274 MTOTR0001166616
6518.057066 0.997660 0.004338 1.2633 168.8 -0.128 0.524 MTOTR0001166617
6518.057446 1.007749 0.004356 1.2628 157.7 1.165 0.554 MTOTR0001166618
6518.057833 1.001322 0.004330 1.2623 166.3 1.701 0.592 MTOTR0001166619
6518.058213 1.004382 0.004335 1.2618 157.9 1.422 0.694 MTOTR0001166620
6518.058599 1.001265 0.004363 1.2613 145.3 1.397 0.559 MTOTR0001166621
6518.058979 1.002046 0.004331 1.2608 156.5 0.306 0.765 MTOTR0001166622
6518.059366 1.010179 0.004333 1.2603 144.0 -2.114 0.577 MTOTR0001166623
6518.059746 1.006081 0.004320 1.2599 169.8 -1.307 0.641 MTOTR0001166624
6518.060132 1.005631 0.004311 1.2594 142.9 0.338 0.612 MTOTR0001166625
6518.060513 0.995974 0.004266 1.2590 160.0 0.882 0.690 MTOTR0001166626
6518.060898 1.001233 0.004297 1.2585 167.0 0.830 0.736 MTOTR0001166627
6518.061279 1.002054 0.004285 1.2581 157.5 1.123 0.736 MTOTR0001166628
6518.061665 1.005153 0.004300 1.2577 157.2 0.128 0.692 MTOTR0001166629
6518.062045 1.007052 0.004305 1.2573 139.3 -1.704 0.770 MTOTR0001166630
6518.062431 0.993712 0.004289 1.2568 155.8 -1.724 0.838 MTOTR0001166631
6518.062812 0.998042 0.004292 1.2565 138.7 -0.367 0.859 MTOTR0001166632
6518.063198 0.997822 0.004281 1.2561 154.9 0.516 0.725 MTOTR0001166633
6518.063578 0.994008 0.004260 1.2557 145.5 0.715 0.690 MTOTR0001166634
6518.063964 0.990450 0.004261 1.2553 145.0 0.423 0.477 MTOTR0001166635
6518.064345 0.989949 0.004253 1.2549 153.2 0.121 0.571 MTOTR0001166636
