# BJD(TDB)-2450000 flux err airmass sky dx dy baserun
6490.456112 1.017037 0.002538 1.1632 1605.6 -1.432 8.627 k130716_0698
6490.456334 1.017903 0.002532 1.1630 1605.5 -0.623 7.758 k130716_0699
6490.456559 1.015003 0.002529 1.1628 1605.3 0.122 6.812 k130716_0700
6490.456773 1.015199 0.002527 1.1627 1605.4 1.149 6.104 k130716_0701
6490.457003 1.012230 0.002524 1.1625 1607.6 1.554 5.752 k130716_0702
6490.457232 1.008361 0.002515 1.1624 1605.3 3.847 3.378 k130716_0703
6490.457455 1.007708 0.002515 1.1622 1606.2 3.784 3.627 k130716_0704
6490.457670 1.006800 0.002509 1.1621 1605.0 3.527 3.350 k130716_0705
6490.457884 1.005250 0.002512 1.1619 1609.6 3.097 3.350 k130716_0706
6490.458098 1.005309 0.002509 1.1618 1610.2 3.881 3.245 k130716_0707
6490.458345 1.006002 0.002515 1.1617 1611.6 1.259 0.968 k130716_0708
6490.458558 1.006816 0.002512 1.1615 1610.6 2.187 4.680 k130716_0709
6490.458774 1.005890 0.002511 1.1614 1611.0 2.590 4.068 k130716_0710
6490.458997 1.005596 0.002512 1.1613 1612.9 2.871 3.563 k130716_0711
6490.459214 1.003229 0.002509 1.1611 1611.5 3.367 3.229 k130716_0712
6490.459426 1.002539 0.002504 1.1610 1610.4 3.719 3.245 k130716_0713
6490.459639 1.001217 0.002511 1.1609 1610.9 3.921 3.153 k130716_0714
6490.459886 1.002807 0.002508 1.1607 1608.9 1.479 0.521 k130716_0715
6490.460100 1.005385 0.002515 1.1606 1609.8 -0.563 2.612 k130716_0716
6490.460315 1.005547 0.002513 1.1605 1615.4 -0.517 2.405 k130716_0717
6490.460527 1.005164 0.002517 1.1604 1614.3 -2.087 4.385 k130716_0718
6490.460753 1.001616 0.002515 1.1603 1618.1 -2.362 4.272 k130716_0719
6490.460967 1.002919 0.002509 1.1602 1617.5 -1.833 3.831 k130716_0720
6490.461187 1.001196 0.002509 1.1601 1623.3 -1.561 3.978 k130716_0721
6490.461404 1.002626 0.002513 1.1600 1628.3 -0.200 7.128 k130716_0722
6490.461618 0.996623 0.002503 1.1599 1630.6 0.470 6.529 k130716_0723
6490.461834 0.998372 0.002503 1.1598 1628.8 1.554 5.639 k130716_0724
6490.462051 1.001638 0.002512 1.1597 1629.7 2.361 4.962 k130716_0725
