# Aperture radius = 15.5 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#            BJD_TDB               F_sci             e_F_sci               F_ref             e_F_ref               Pos_X               Pos_Y              FWHM_X              FWHM_Y                Airm              RotAng
    2456855.48725549        2.146655E+06        1.508415E+03        3.447170E+06        1.909395E+03       -2.981455E-03        6.937714E-01       -4.229131E-01        2.891570E+00        1.400347E+00        4.380043E+01
    2456855.48754409        2.148007E+06        1.508397E+03        3.447276E+06        1.934875E+03       -1.977094E-01        1.677094E-01        4.271412E-02        2.948698E+00        1.398628E+00        4.379170E+01
    2456855.48810391        2.148617E+06        1.509130E+03        3.461953E+06        1.934644E+03        4.723140E-02        4.641266E-01       -5.041647E-01        3.072163E+00        1.395355E+00        4.377359E+01
    2456855.48838755        2.149383E+06        1.508860E+03        3.480238E+06        1.937487E+03       -1.187652E-01        1.948090E-01       -2.550626E-01        2.934919E+00        1.393731E+00        4.376384E+01
    2456855.48867106        2.152397E+06        1.509961E+03        3.455224E+06        1.916276E+03       -4.879445E-02        5.422516E-01        8.329153E-02        3.010391E+00        1.392048E+00        4.375367E+01
    2456855.48895482        2.149996E+06        1.507549E+03        3.476352E+06        2.042497E+03       -4.592729E-01        1.504364E-01       -8.151627E-02        3.365416E+00        1.390440E+00        4.374319E+01
    2456855.48923878        2.152469E+06        1.509987E+03        3.441989E+06        1.907560E+03        1.647378E-02        3.412933E-01        1.748776E-01        3.300775E+00        1.388775E+00        4.373224E+01
    2456855.48952217        2.151025E+06        1.509439E+03        3.469807E+06        1.920192E+03       -1.616632E-01        8.021545E-02        6.928396E-02        2.996208E+00        1.387183E+00        4.372092E+01
    2456855.48980593        2.150174E+06        1.509187E+03        3.468980E+06        1.940350E+03       -1.485130E-01        1.858063E-01       -8.160114E-03        3.269222E+00        1.385534E+00        4.370921E+01
    2456855.49008949        2.157147E+06        1.511712E+03        3.469795E+06        2.006046E+03       -9.552002E-02        6.739349E-01       -2.019229E-01        2.922600E+00        1.383962E+00        4.369704E+01
    2456855.49037327        2.154059E+06        1.510813E+03        3.469639E+06        1.942027E+03       -1.977069E-01        5.513458E-01        1.110512E+00        3.192088E+00        1.382330E+00        4.368453E+01
    2456855.49065704        2.154249E+06        1.510991E+03        3.472388E+06        1.937385E+03       -1.498997E-02        6.561737E-01        9.895349E-01        2.920947E+00        1.380706E+00        4.367154E+01
    2456855.49094234        2.154772E+06        1.510655E+03        3.476891E+06        1.938809E+03        1.755375E-02        3.420868E-01        4.925079E-01        2.886065E+00        1.379155E+00        4.365818E+01
    2456855.49122611        2.154967E+06        1.511646E+03        3.498515E+06        1.955897E+03       -1.649773E-02        4.980011E-01        9.400692E-01        2.893700E+00        1.377548E+00        4.364440E+01
    2456855.49150952        2.153840E+06        1.510369E+03        3.464520E+06        1.913836E+03        1.082586E-02        2.133331E-01       -1.646104E-01        2.718401E+00        1.376012E+00        4.363030E+01
    2456855.49179309        2.155865E+06        1.511489E+03        3.456165E+06        1.911851E+03       -2.408340E-02        4.162750E-01       -4.583430E-01        2.888199E+00        1.374421E+00        4.361582E+01
    2456855.49207663        2.155299E+06        1.510559E+03        3.453130E+06        1.911301E+03       -3.126330E-01        5.020599E-01       -4.464035E-01        2.999290E+00        1.372901E+00        4.360087E+01
    2456855.49236040        2.154943E+06        1.511300E+03        3.479529E+06        1.919380E+03       -1.061930E-01        3.690033E-01        1.268306E+00        3.216868E+00        1.371327E+00        4.358539E+01
    2456855.49264379        2.160375E+06        1.512654E+03        3.487025E+06        1.949410E+03        6.386384E-02        1.916351E-01       -6.614223E-01        3.062728E+00        1.369823E+00        4.356969E+01
    2456855.49292755        2.160668E+06        1.512788E+03        3.466977E+06        1.914781E+03       -2.056197E-01        3.094025E-01       -2.395482E-01        2.968008E+00        1.368264E+00        4.355342E+01
    2456855.49321095        2.162142E+06        1.512928E+03        3.446771E+06        1.913514E+03        4.144069E-02        3.412933E-01       -1.996818E-01        3.015341E+00        1.366776E+00        4.353686E+01
    2456855.49349452        2.157203E+06        1.512018E+03        3.472380E+06        1.915942E+03       -2.227045E-02        5.124969E-01        1.225479E+00        3.075171E+00        1.365234E+00        4.351990E+01
    2456855.49377789        2.165309E+06        1.514571E+03        3.467944E+06        1.915234E+03       -2.978637E-01        2.751312E-01        1.010111E+00        3.193343E+00        1.363760E+00        4.350243E+01
    2456855.49406146        2.160889E+06        1.512975E+03        3.487640E+06        1.952494E+03        2.337543E-01        4.321747E-01       -7.242346E-02        2.938761E+00        1.362234E+00        4.348456E+01
    2456855.49434508        2.160939E+06        1.512462E+03        3.481094E+06        1.918107E+03       -5.524070E-01        4.535370E-01        1.089043E+00        3.093599E+00        1.360775E+00        4.346630E+01
    2456855.49462883        2.163319E+06        1.513325E+03        3.498199E+06        1.923350E+03        1.612104E-01        6.822052E-01        5.185671E-01        3.229840E+00        1.359264E+00        4.344765E+01
    2456855.49491026        2.164479E+06        1.514119E+03        3.479588E+06        1.925643E+03       -2.149058E-03        1.169281E-01        1.793971E-01        3.107691E+00        1.357821E+00        4.342857E+01
    2456855.49519402        2.164234E+06        1.514039E+03        3.498575E+06        1.994126E+03       -2.510664E-01        2.199554E-01       -5.542006E-01        3.119500E+00        1.356385E+00        4.340898E+01
    2456855.49547933        2.167306E+06        1.514680E+03        3.487417E+06        1.977319E+03       -5.153668E-01        6.856842E-01       -1.642427E-01        3.311164E+00        1.354897E+00        4.338890E+01
    2456855.49576291        2.164303E+06        1.513653E+03        3.463738E+06        1.914238E+03        1.423525E-01        7.740784E-02       -1.743350E-01        3.115047E+00        1.353417E+00        4.336852E+01
    2456855.49604647        2.161566E+06        1.512697E+03        3.464464E+06        1.914486E+03       -8.650456E-02        5.447235E-01       -5.512333E-02        2.969029E+00        1.352003E+00        4.334764E+01
    2456855.49633005        2.165380E+06        1.514567E+03        3.494827E+06        1.931041E+03        7.869482E-02        5.528717E-01       -2.795935E-02        3.287300E+00        1.350538E+00        4.332649E+01
    2456855.49661364        2.164826E+06        1.513769E+03        3.476930E+06        1.930731E+03        3.227402E-02        5.005646E-01        8.413081E-01        2.882924E+00        1.349139E+00        4.330463E+01
    2456855.49689722        2.165596E+06        1.514411E+03        3.479487E+06        1.918103E+03       -1.404771E-01        4.943390E-01        9.530687E-02        3.071390E+00        1.347689E+00        4.328265E+01
    2456855.49717888        2.166789E+06        1.514929E+03        3.490123E+06        1.921334E+03       -1.467055E-01        1.989288E-01        1.547275E-01        2.981325E+00        1.346304E+00        4.326016E+01
    2456855.49746245        2.167192E+06        1.515149E+03        3.490767E+06        1.920835E+03       -8.072161E-02        3.831940E-01        1.923170E-01        3.190336E+00        1.344927E+00        4.323699E+01
    2456855.49774619        2.167902E+06        1.514932E+03        3.488690E+06        1.949091E+03        3.240835E-01        6.011810E-01        9.073973E-02        3.106970E+00        1.343499E+00        4.321366E+01
    2456855.49802977        2.170207E+06        1.516566E+03        3.479008E+06        1.950110E+03       -2.959404E-01        4.868317E-01       -1.770287E-01        3.328619E+00        1.342079E+00        4.318972E+01
    2456855.49831488        2.166552E+06        1.514938E+03        3.472924E+06        1.917494E+03       -3.101455E-01        6.901703E-01       -1.093919E+00        2.960282E+00        1.340723E+00        4.316530E+01
