# Aperture radius =  9.0 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#            BJD_TDB               F_sci             e_F_sci               F_ref             e_F_ref               Pos_X               Pos_Y              FWHM_X              FWHM_Y                Airm              RotAng
    2456895.36502830        2.752457E+06        1.704832E+03        4.496661E+06        2.249309E+03       -6.981971E-02        4.059753E-01       -3.913698E-01        4.283914E+00        1.483439E+00        4.379752E+01
    2456895.36626013        2.748999E+06        1.703772E+03        4.474723E+06        2.253051E+03       -1.086046E-01        1.733398E-01       -2.038021E-01        5.331175E+00        1.474317E+00        4.382612E+01
    2456895.36665386        2.749317E+06        1.703359E+03        4.486225E+06        2.222963E+03       -1.199396E-01        1.625366E-01        1.884209E+00        5.010442E+00        1.471461E+00        4.383389E+01
    2456895.36699024        2.747048E+06        1.714201E+03        4.484700E+06        2.235257E+03       -1.789965E-02        1.520996E-01        1.732995E+00        4.426245E+00        1.469041E+00        4.384003E+01
    2456895.36732106        2.749991E+06        1.703308E+03        4.462537E+06        2.256710E+03       -2.326096E-01        1.990051E-01       -6.247859E-01        4.249006E+00        1.466723E+00        4.384561E+01
    2456895.36765383        2.748594E+06        1.703618E+03        4.498983E+06        2.259737E+03       -6.923618E-02       -2.758789E-02        1.696269E+00        5.055732E+00        1.464331E+00        4.385075E+01
    2456895.36798675        2.746048E+06        1.702950E+03        4.466997E+06        2.214003E+03       -6.027971E-02        2.682800E-01        5.338192E-02        4.596899E+00        1.461955E+00        4.385542E+01
    2456895.36832141        2.755465E+06        1.706009E+03        4.493122E+06        2.264406E+03       -1.069260E-01        1.873779E-01        2.357918E+00        5.117940E+00        1.459592E+00        4.385966E+01
    2456895.36865418        2.752347E+06        1.704365E+03        4.474651E+06        2.246096E+03       -1.502821E-01        1.665649E-01        8.557377E-01        5.081290E+00        1.457324E+00        4.386339E+01
    2456895.36898673        2.755505E+06        1.705900E+03        4.517624E+06        2.289383E+03       -2.596158E-01        3.926392E-01        1.327295E+00        4.811389E+00        1.454989E+00        4.386668E+01
    2456895.36931987        2.762173E+06        1.708115E+03        4.488286E+06        2.263090E+03       -1.156197E-01        2.612305E-01        1.023698E-01        5.099100E+00        1.452669E+00        4.386946E+01
    2456895.36965221        2.756238E+06        1.706096E+03        4.502770E+06        2.312528E+03        2.977454E-02        5.322266E-02       -3.027225E-01        4.902312E+00        1.450362E+00        4.387178E+01
    2456895.36998303        2.756210E+06        1.706269E+03        4.532207E+06        2.302240E+03       -3.482898E-01        3.706360E-01        1.282512E+00        5.059299E+00        1.448148E+00        4.387359E+01
    2456895.37031577        2.758209E+06        1.706775E+03        4.513182E+06        2.237576E+03       -1.399954E-01        1.924133E-01        6.857809E+00        4.649242E+00        1.445869E+00        4.387490E+01
    2456895.37064855        2.758468E+06        1.706168E+03        4.490194E+06        2.229318E+03       -1.209598E-01        1.726074E-01        1.997283E+00        5.059623E+00        1.443603E+00        4.387575E+01
    2456895.37098685        2.757435E+06        1.706478E+03        4.502984E+06        2.239366E+03       -8.078615E-02        4.327087E-01       -8.016896E-01        5.049597E+00        1.441351E+00        4.387614E+01
    2456895.37131978        2.763322E+06        1.708278E+03        4.522831E+06        2.272837E+03       -1.135270E-01        1.478271E-01        2.589566E+01        4.999332E+00        1.439112E+00        4.387601E+01
    2456895.37165446        2.757868E+06        1.706626E+03        4.495934E+06        2.252713E+03        9.962504E-02        4.752197E-01       -3.468328E-01        4.655693E+00        1.436887E+00        4.387536E+01
    2456895.37198509        2.764058E+06        1.708487E+03        4.505541E+06        2.237633E+03       -2.280880E-01        2.147522E-01        2.218342E-01        4.778370E+00        1.434751E+00        4.387425E+01
    2456895.37231784        2.769641E+06        1.714801E+03        4.505337E+06        2.280167E+03        4.693517E-02        5.981445E-02        2.130559E+00        4.814117E+00        1.432553E+00        4.387260E+01
    2456895.37265096        2.766017E+06        1.710804E+03        4.528543E+06        2.283357E+03       -1.894097E-01        1.945190E-01        4.636354E-01        4.928459E+00        1.430367E+00        4.387051E+01
    2456895.37298545        2.767567E+06        1.709552E+03        4.524692E+06        2.279576E+03        2.293296E-02       -9.124756E-03        4.966394E+00        4.719770E+00        1.428195E+00        4.386789E+01
    2456895.37331838        2.764187E+06        1.708580E+03        4.502956E+06        2.245192E+03       -7.180522E-02        4.216309E-01        1.601629E+00        4.811282E+00        1.426109E+00        4.386480E+01
    2456895.37365132        2.770311E+06        1.711907E+03        4.512743E+06        2.277040E+03       -1.401384E-02        1.384583E-01       -1.300457E+00        5.203809E+00        1.423963E+00        4.386117E+01
    2456895.37417448        2.768901E+06        1.710046E+03        4.505709E+06        2.253163E+03       -1.046335E-01        2.463989E-01       -5.271769E-02        4.646146E+00        1.420657E+00        4.385445E+01
    2456895.37472903        2.771536E+06        1.712385E+03        4.514828E+06        2.265543E+03       -8.801278E-02        1.274414E-01        3.399501E+00        5.001896E+00        1.417165E+00        4.384596E+01
    2456895.37507972        2.765266E+06        1.708904E+03        4.530640E+06        2.299695E+03       -1.889741E-01        2.601624E-01        1.418770E+00        4.603850E+00        1.414928E+00        4.383983E+01
    2456895.37541188        2.768007E+06        1.709788E+03        4.513078E+06        2.270251E+03       -2.062516E-01        1.579285E-01        6.670680E+00        4.667861E+00        1.412920E+00        4.383357E+01
    2456895.37568446        2.769425E+06        1.710173E+03        4.514215E+06        2.288920E+03       -2.601689E-01        7.131958E-02       -3.440328E-01        4.352777E+00        1.411210E+00        4.382802E+01
    2456895.37595643        2.766373E+06        1.709298E+03        4.533529E+06        2.278316E+03       -6.651378E-02        2.704773E-01        3.104831E+00        5.023832E+00        1.409577E+00        4.382206E+01
    2456895.37622821        2.769582E+06        1.710180E+03        4.504941E+06        2.268152E+03        6.214126E-02        2.310486E-01       -3.335528E-01        5.331466E+00        1.407881E+00        4.381583E+01
    2456895.37650019        2.770858E+06        1.710576E+03        4.511652E+06        2.261548E+03        1.257964E-01        2.964478E-01        4.941345E+00        5.334822E+00        1.406264E+00        4.380927E+01
    2456895.37677219        2.767884E+06        1.709729E+03        4.501344E+06        2.263823E+03        9.818917E-06        2.725830E-01        3.091984E-01        4.797121E+00        1.404585E+00        4.380231E+01
    2456895.37704417        2.768821E+06        1.709927E+03        4.514323E+06        2.299991E+03        5.832003E-02        2.982483E-01       -1.443224E-01        5.211080E+00        1.402984E+00        4.379503E+01
    2456895.37731615        2.771433E+06        1.710852E+03        4.512957E+06        2.253813E+03       -1.411206E-01        6.723022E-02        8.626089E-01        5.090480E+00        1.401322E+00        4.378737E+01
    2456895.37758813        2.762976E+06        1.708255E+03        4.528108E+06        2.313991E+03       -2.189951E-01        1.337891E-01       -7.184186E-01        4.800907E+00        1.399736E+00        4.377938E+01
    2456895.37786108        2.769623E+06        1.710241E+03        4.516959E+06        2.276207E+03        1.644913E-01        5.265808E-01       -9.915733E-01        4.376408E+00        1.398091E+00        4.377097E+01
    2456895.37813306        2.767984E+06        1.709789E+03        4.494011E+06        2.251482E+03       -1.222729E-01        1.697998E-01        5.974216E-01        4.796950E+00        1.396520E+00        4.376222E+01
    2456895.37840506        2.768557E+06        1.709950E+03        4.522217E+06        2.255057E+03       -6.361788E-02        1.413879E-01        1.347775E-01        4.569436E+00        1.394890E+00        4.375316E+01
    2456895.37867703        2.764468E+06        1.708584E+03        4.508503E+06        2.255574E+03       -1.349628E-01        3.330078E-01        6.060700E-01        4.959359E+00        1.393336E+00        4.374367E+01
    2456895.37894902        2.766548E+06        1.709295E+03        4.512188E+06        2.283523E+03       -7.630767E-02        1.881714E-01        1.378098E-01        4.560193E+00        1.391722E+00        4.373390E+01
    2456895.37922100        2.767486E+06        1.709602E+03        4.509333E+06        2.257515E+03       -6.594793E-02        4.136963E-01        3.278061E+00        4.805705E+00        1.390185E+00        4.372372E+01
    2456895.37949299        2.769048E+06        1.710092E+03        4.532237E+06        2.285571E+03       -9.427012E-02        3.121338E-01       -2.574897E-01        4.464402E+00        1.388587E+00        4.371320E+01
    2456895.37976497        2.768338E+06        1.710001E+03        4.554683E+06        2.376212E+03       -1.421400E-01        3.168335E-01        1.883433E+00        4.823733E+00        1.387062E+00        4.370228E+01
    2456895.38003695        2.773382E+06        1.711462E+03        4.549699E+06        2.278606E+03       -1.083419E-02        2.534180E-01        1.907284E+00        4.740740E+00        1.385480E+00        4.369105E+01
    2456895.38030896        2.774275E+06        1.711725E+03        4.537019E+06        2.322491E+03       -1.375430E-01        1.542664E-01       -6.900420E-01        4.590383E+00        1.383970E+00        4.367938E+01
    2456895.38058090        2.778857E+06        1.713078E+03        4.521078E+06        2.230881E+03       -2.086339E-01       -3.378296E-02       -3.717613E-02        4.828643E+00        1.382402E+00        4.366743E+01
    2456895.38085288        2.773335E+06        1.713247E+03        4.539599E+06        2.298079E+03       -4.472479E-02        2.583618E-01       -2.848992E-01        4.617167E+00        1.380908E+00        4.365502E+01
    2456895.38112490        2.777865E+06        1.712833E+03        4.582407E+06        2.361940E+03       -1.702600E-01        2.861633E-01        1.372387E+00        4.434531E+00        1.379356E+00        4.364236E+01
    2456895.38139686        2.773550E+06        1.711498E+03        4.537195E+06        2.274592E+03       -1.179498E-01        1.522522E-01       -3.093591E-01        4.377194E+00        1.377876E+00        4.362919E+01
