# Aperture radius = 15.5 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#          Lambda(A)                Flux
       5568.15135547        4.259854E+04
       5570.30223437        4.259221E+04
       5572.45311328        4.289439E+04
       5574.60594531        4.332040E+04
       5576.75877734        4.369327E+04
       5578.91209766        4.381511E+04
       5581.06639453        4.347823E+04
       5583.22117969        4.269568E+04
       5585.37742969        4.162438E+04
       5587.53319141        4.064203E+04
       5589.69090625        3.989671E+04
       5591.84862109        3.959597E+04
       5594.00682422        3.977753E+04
       5596.16551562        4.002093E+04
       5598.32567187        4.033238E+04
       5600.48631641        4.086832E+04
       5602.64744922        4.165663E+04
       5604.80955859        4.270803E+04
       5606.97215625        4.393518E+04
       5609.13475391        4.471297E+04
       5611.30028125        4.496508E+04
       5613.46385547        4.467358E+04
       5615.62938281        4.420885E+04
       5617.79539844        4.386675E+04
       5619.96239062        4.384946E+04
       5622.12987109        4.417299E+04
       5624.29881641        4.473125E+04
       5626.46727344        4.526562E+04
       5628.63621875        4.575128E+04
       5630.80711719        4.633123E+04
       5632.97752734        4.688498E+04
       5635.14940234        4.725729E+04
       5637.32225391        4.740580E+04
       5639.49559375        4.745369E+04
       5641.66844531        4.747840E+04
       5643.84276172        4.747628E+04
       5646.01854297        4.766703E+04
       5648.19432422        4.808596E+04
       5650.37059375        4.837177E+04
       5652.54832812        4.853652E+04
       5654.72606250        4.850704E+04
       5656.90379687        4.824316E+04
       5659.08397266        4.787383E+04
       5661.26414844        4.766172E+04
       5663.44432422        4.777694E+04
       5665.62596484        4.814841E+04
       5667.80809375        4.853799E+04
       5669.98973437        4.888438E+04
       5672.17430469        4.919105E+04
       5674.35789844        4.945685E+04
       5676.54295703        4.966464E+04
       5678.72850391        4.975605E+04
       5680.91453906        4.952176E+04
       5683.10155078        4.914312E+04
       5685.28953906        4.904678E+04
       5687.47703906        4.916981E+04
       5689.66600391        4.953100E+04
       5691.85594531        4.991115E+04
       5694.04637500        5.027786E+04
       5696.23778125        5.038314E+04
       5698.42967578        5.013064E+04
       5700.62205859        4.982140E+04
       5702.81444141        4.956720E+04
       5705.00877734        4.933418E+04
       5707.20311328        4.920280E+04
       5709.39842578        4.930975E+04
       5711.59520312        4.967121E+04
       5713.79198047        5.031798E+04
       5715.98778125        5.123227E+04
       5718.18651172        5.209359E+04
       5720.38524219        5.261820E+04
       5722.58446094        5.286888E+04
       5724.78514453        5.288876E+04
       5726.98582812        5.279922E+04
       5729.18700000        5.280151E+04
       5731.38963672        5.298247E+04
       5733.59227344        5.337139E+04
       5735.79588672        5.376074E+04
       5737.99998828        5.410765E+04
       5740.20506641        5.442740E+04
       5742.41063281        5.469691E+04
       5744.61717578        5.489628E+04
       5746.82420703        5.510984E+04
       5749.03221484        5.539376E+04
       5751.24022266        5.558633E+04
       5753.44969531        5.561979E+04
       5755.65965625        5.566383E+04
       5757.87010547        5.564468E+04
       5760.08104297        5.547853E+04
       5762.29295703        5.534568E+04
       5764.50535937        5.532462E+04
       5766.71825000        5.546994E+04
       5768.93260547        5.582199E+04
       5771.14793750        5.596268E+04
       5773.36326953        5.583088E+04
       5775.57908984        5.546382E+04
       5777.79588672        5.493290E+04
       5780.01317187        5.437788E+04
       5782.23143359        5.398456E+04
       5784.45067187        5.387118E+04
       5786.66991016        5.415726E+04
       5788.89012500        5.484839E+04
