# Aperture radius =  9.0 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#          Lambda(A)                Flux
       5535.80217578        5.680133E+04
       5537.97502734        5.732086E+04
       5540.14885547        5.793591E+04
       5542.32414844        5.857717E+04
       5544.49944141        5.903730E+04
       5546.67619922        5.937384E+04
       5548.85393359        5.953997E+04
       5551.03117969        5.960300E+04
       5553.20940234        5.967431E+04
       5555.38811328        5.942193E+04
       5557.56780078        5.892387E+04
       5559.74797656        5.846880E+04
       5561.92961719        5.825957E+04
       5564.11223438        5.824405E+04
       5566.29387500        5.832648E+04
       5568.47746875        5.859745E+04
       5570.66155078        5.892825E+04
       5572.84612109        5.935041E+04
       5575.03117969        5.969470E+04
       5577.21770313        5.955049E+04
       5579.40373828        5.913109E+04
       5581.59123828        5.841408E+04
       5583.77971484        5.774025E+04
       5585.96819141        5.704453E+04
       5588.15764453        5.652989E+04
       5590.34758594        5.620693E+04
       5592.53899219        5.614179E+04
       5594.72991016        5.660237E+04
       5596.92278125        5.737171E+04
       5599.11516406        5.818717E+04
       5601.30901172        5.880630E+04
       5603.50334766        5.937186E+04
       5605.69817188        6.005822E+04
       5607.89397266        6.063038E+04
       5610.09026172        6.094492E+04
       5612.28801563        6.090021E+04
       5614.48528125        6.032012E+04
       5616.68352344        5.961250E+04
       5618.88274219        5.905203E+04
       5621.08244922        5.899907E+04
       5623.28362109        5.937403E+04
       5625.48430469        5.980337E+04
       5627.68645313        6.016458E+04
       5629.88957813        6.058317E+04
       5632.09270313        6.101388E+04
       5634.29680469        6.124273E+04
       5636.50237109        6.117037E+04
       5638.70647266        6.095142E+04
       5640.91301563        6.092209E+04
       5643.12004688        6.113170E+04
       5645.32756641        6.154156E+04
       5647.53557422        6.194170E+04
       5649.74455859        6.217469E+04
       5651.95403125        6.227598E+04
       5654.16448047        6.226367E+04
       5656.37590625        6.209598E+04
       5658.58733203        6.181042E+04
       5660.79973438        6.158192E+04
       5663.01262500        6.171207E+04
       5665.22600391        6.245194E+04
       5667.44035938        6.336833E+04
       5669.65617969        6.411248E+04
       5671.87200000        6.480113E+04
       5674.08879688        6.537584E+04
       5676.30559375        6.586793E+04
       5678.52385547        6.618802E+04
       5680.74211719        6.609982E+04
       5682.96135547        6.599798E+04
       5685.18157031        6.606031E+04
       5687.40227344        6.614353E+04
       5689.62395313        6.621152E+04
       5691.84660938        6.613338E+04
       5694.06828906        6.587850E+04
       5696.29192188        6.545048E+04
       5698.51653125        6.458906E+04
       5700.74114063        6.344136E+04
       5702.96672656        6.266618E+04
       5705.19231250        6.248787E+04
       5707.41985156        6.277379E+04
       5709.64739063        6.341232E+04
       5711.87590625        6.434410E+04
       5714.10491016        6.583840E+04
       5716.33489063        6.738088E+04
       5718.56535938        6.862084E+04
       5720.79582813        6.931086E+04
       5723.02776172        6.971663E+04
       5725.26067188        6.982140E+04
