# Aperture radius =  9.0 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#          Lambda(A)                Flux
       5571.44627734        3.401618E+04
       5573.59764453        3.447547E+04
       5575.74901172        3.495415E+04
       5577.90037891        3.537800E+04
       5580.05321094        3.548502E+04
       5582.20653125        3.494231E+04
       5584.36082812        3.385223E+04
       5586.51561328        3.270237E+04
       5588.67186328        3.170545E+04
       5590.82811328        3.119358E+04
       5592.98485156        3.151427E+04
       5595.14256641        3.202996E+04
       5597.30076953        3.212268E+04
       5599.45994922        3.214277E+04
       5601.61912891        3.258212E+04
       5603.77977344        3.351783E+04
       5605.94041797        3.484726E+04
       5608.10301562        3.610285E+04
       5610.26512500        3.658672E+04
       5612.42869922        3.631648E+04
       5614.59276172        3.560618E+04
       5616.75731250        3.492342E+04
       5618.92283984        3.469236E+04
       5621.08836719        3.508908E+04
       5623.25487109        3.560851E+04
       5625.42283984        3.599049E+04
       5627.59032031        3.634365E+04
       5629.75975391        3.685219E+04
       5631.92918750        3.746085E+04
       5634.09959766        3.790474E+04
       5636.27049609        3.818603E+04
       5638.44188281        3.811984E+04
       5640.61473437        3.798444E+04
       5642.78758594        3.798743E+04
       5644.96092578        3.804233E+04
       5647.13524219        3.825846E+04
       5649.31102344        3.864180E+04
       5651.48631641        3.900046E+04
       5653.66356250        3.916452E+04
       5655.84080859        3.891969E+04
       5658.01854297        3.839629E+04
       5660.19676562        3.793488E+04
       5662.37645312        3.787563E+04
       5664.55662891        3.831358E+04
       5666.73680469        3.878218E+04
       5668.91844531        3.912505E+04
       5671.10057422        3.922760E+04
       5673.28319141        3.939511E+04
       5675.46776172        3.973092E+04
       5677.65135547        3.995070E+04
       5679.83592578        3.991199E+04
       5682.02244922        3.950465E+04
       5684.20799609        3.903646E+04
       5686.39451953        3.892711E+04
       5688.58299609        3.914197E+04
       5690.77196094        3.946444E+04
       5692.96092578        4.012080E+04
       5695.14989062        4.057497E+04
       5697.34080859        4.039842E+04
       5699.53172656        3.991586E+04
       5701.72410937        3.960425E+04
       5703.91600391        3.941756E+04
       5706.10985156        3.934607E+04
       5708.30418750        3.931811E+04
       5710.49803516        3.934090E+04
       5712.69432422        3.970011E+04
       5714.89061328        4.052793E+04
       5717.08739062        4.144043E+04
       5719.28465625        4.205880E+04
       5721.48289844        4.241213E+04
       5723.68114062        4.251612E+04
       5725.88084766        4.229274E+04
       5728.08153125        4.203245E+04
       5730.28221484        4.203568E+04
       5732.48436328        4.241410E+04
       5734.68700000        4.284783E+04
       5736.88963672        4.320533E+04
       5739.09325000        4.342819E+04
       5741.29783984        4.361084E+04
       5743.50389453        4.384991E+04
       5745.70897266        4.408393E+04
       5747.91600391        4.430179E+04
       5750.12303516        4.443860E+04
       5752.33153125        4.450341E+04
       5754.53953906        4.459009E+04
       5756.74901172        4.464776E+04
       5758.95946094        4.466973E+04
       5761.17088672        4.445310E+04
       5763.38182422        4.423057E+04
       5765.59422656        4.429044E+04
       5767.80711719        4.471856E+04
       5770.02098437        4.506519E+04
       5772.23533984        4.500002E+04
       5774.45018359        4.473188E+04
       5776.66551562        4.431737E+04
       5778.88231250        4.386413E+04
       5781.09910937        4.338360E+04
       5783.31737109        4.300372E+04
       5785.53563281        4.293827E+04
       5787.75487109        4.340452E+04
       5789.97459766        4.424647E+04
       5792.19578906        4.510833E+04
       5794.41698047        4.594524E+04
       5796.63866016        4.667624E+04
       5798.86180469        4.715296E+04
       5801.08494922        4.734867E+04
       5803.30907031        4.755752E+04
       5805.53416797        4.762806E+04
       5807.75926562        4.756056E+04
