# Aperture radius = 15.5 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#          Lambda(A)                Flux
       5531.62379688        6.870297E+04
       5533.79664844        6.916189E+04
       5535.97145313        6.986495E+04
       5538.14625781        7.101097E+04
       5540.32203906        7.180520E+04
       5542.49879688        7.206262E+04
       5544.67555469        7.241497E+04
       5546.85328906        7.321827E+04
       5549.03200000        7.394903E+04
       5551.21168750        7.396054E+04
       5553.39088672        7.329041E+04
       5555.57155078        7.261450E+04
       5557.75270313        7.220159E+04
       5559.93532031        7.176404E+04
       5562.11744922        7.132473E+04
       5564.30104297        7.101153E+04
       5566.48512500        7.120509E+04
       5568.66969531        7.182457E+04
       5570.85475391        7.266605E+04
       5573.04078906        7.340542E+04
       5575.22780078        7.386946E+04
       5577.41530078        7.396122E+04
       5579.60377734        7.342896E+04
       5581.79176563        7.217693E+04
       5583.98170703        7.024834E+04
       5586.17164844        6.846627E+04
       5588.36305469        6.800551E+04
       5590.55397266        6.885796E+04
       5592.74586719        7.010256E+04
       5594.93971484        7.085553E+04
       5597.13356250        7.062972E+04
       5599.32789844        7.032613E+04
       5601.52321094        7.121458E+04
       5603.71852344        7.324556E+04
       5605.91481250        7.535143E+04
       5608.11207813        7.626874E+04
       5610.30983203        7.598845E+04
       5612.50856250        7.463189E+04
       5614.70680469        7.300241E+04
       5616.90700000        7.224979E+04
       5619.10719531        7.229570E+04
       5621.30885547        7.224840E+04
       5623.51051563        7.218741E+04
       5625.71315234        7.293894E+04
       5627.91627734        7.442901E+04
       5630.12037891        7.562845E+04
       5632.32448047        7.585666E+04
       5634.53102344        7.532865E+04
       5636.73658984        7.454444E+04
       5638.94313281        7.412038E+04
       5641.15114063        7.417471E+04
       5643.35817188        7.468819E+04
       5645.56715625        7.552043E+04
       5647.77711719        7.650249E+04
       5649.98756641        7.749591E+04
       5652.19801563        7.761133E+04
       5654.40944141        7.654193E+04
       5656.62233203        7.513505E+04
       5658.83424609        7.463516E+04
       5661.04811328        7.523326E+04
       5663.26246875        7.616381E+04
       5665.47731250        7.684133E+04
       5667.69313281        7.748938E+04
       5669.90944141        7.870578E+04
       5672.12672656        8.037116E+04
       5674.34450000        8.156827E+04
       5676.56276172        8.178872E+04
       5678.78200000        8.133722E+04
       5681.00172656        8.076141E+04
       5683.22145313        8.061812E+04
       5685.44313281        8.068932E+04
       5687.66530078        8.132154E+04
       5689.88746875        8.246118E+04
       5692.11110156        8.291356E+04
       5694.33473438        8.200830E+04
       5696.55934375        8.031472E+04
       5698.78492969        7.862316E+04
       5701.01051563        7.754246E+04
       5703.23707813        7.685173E+04
       5705.46461719        7.611655E+04
       5707.69313281        7.589024E+04
       5709.92262500        7.716714E+04
       5712.15162891        7.972083E+04
       5714.38160938        8.223029E+04
       5716.61207813        8.424016E+04
       5718.84401172        8.562341E+04
       5721.07594531        8.636015E+04
       5723.30885547        8.603748E+04
       5725.54225391        8.527268E+04
       5727.77662891        8.496162E+04
       5730.01149219        8.528637E+04
       5732.24684375        8.591860E+04
       5734.48317188        8.640830E+04
       5736.72047656        8.657048E+04
       5738.95826953        8.667911E+04
       5741.19655078        8.709700E+04
       5743.43532031        8.762694E+04
       5745.67555469        8.779698E+04
       5747.91578906        8.756442E+04
       5750.15700000        8.739578E+04
       5752.39869922        8.756431E+04
       5754.64137500        8.810603E+04
       5756.88502734        8.820327E+04
       5759.12867969        8.770013E+04
       5761.37330859        8.784164E+04
       5763.61793750        8.932088E+04
       5765.86403125        9.059320E+04
       5768.11110156        9.067684E+04
       5770.35817188        8.988960E+04
       5772.60621875        8.880497E+04
       5774.85524219        8.736364E+04
       5777.10426563        8.520347E+04
       5779.35475391        8.273632E+04
       5781.60524219        8.138339E+04
       5783.85719531        8.211221E+04
       5786.10914844        8.423327E+04
       5788.36207813        8.672930E+04
       5790.61500781        8.910918E+04
       5792.86940234        9.094408E+04
       5795.12477344        9.204273E+04
       5797.38014453        9.311819E+04
       5799.63649219        9.437749E+04
       5801.89381641        9.486027E+04
       5804.15114063        9.465387E+04
       5806.40895313        9.463271E+04
       5808.66871875        9.474408E+04
       5810.92848438        9.457330E+04
       5813.18873828        9.440684E+04
       5815.44996875        9.484375E+04
       5817.71168750        9.608793E+04
       5819.97340625        9.693092E+04
       5822.23707813        9.725796E+04
       5824.50172656        9.762081E+04
       5826.76539844        9.793309E+04
       5829.03053516        9.796853E+04
       5831.29664844        9.757009E+04
       5833.56325000        9.715986E+04
       5835.83082813        9.722477E+04
       5838.09840625        9.767322E+04
       5840.36793750        9.813456E+04
       5842.63649219        9.782218E+04
       5844.90651172        9.658810E+04
       5847.17750781        9.509169E+04
       5849.44899219        9.381931E+04
       5851.72096484        9.256335E+04
       5853.99391406        9.189060E+04
       5856.26735156        9.185429E+04
       5858.54176563        9.252744E+04
       5860.81715625        9.309390E+04
       5863.09254688        9.344137E+04
       5865.36842578        9.388681E+04
       5867.64528125        9.479996E+04
       5869.92311328        9.540531E+04
       5872.20094531        9.512272E+04
       5874.48024219        9.397412E+04
       5876.75953906        9.244898E+04
       5879.04030078        9.081754E+04
       5881.32155078        8.888999E+04
       5883.60328906        8.492123E+04
       5885.88600391        7.845180E+04
       5888.16871875        7.272408E+04
       5890.45192188        7.084817E+04
       5892.73658984        7.217945E+04
       5895.02076953        7.573697E+04
       5897.30690234        8.109326E+04
       5899.59303516        8.627394E+04
       5901.87965625        8.965468E+04
       5904.16725391        9.151420E+04
       5906.45485156        9.258872E+04
       5908.74342578        9.307146E+04
       5911.03297656        9.261498E+04
       5913.32350391        9.212280E+04
       5915.61403125        9.243284E+04
       5917.90455859        9.327463E+04
       5920.19655078        9.398765E+04
       5922.48903125        9.464887E+04
       5924.78200000        9.530108E+04
       5927.07594531        9.574978E+04
       5929.37037891        9.586376E+04
       5931.66530078        9.584511E+04
       5933.96119922        9.586314E+04
       5936.25709766        9.615205E+04
       5938.55397266        9.652159E+04
       5940.85133594        9.705956E+04
       5943.14918750        9.794365E+04
       5945.44752734        9.820869E+04
       5947.74733203        9.772738E+04
       5950.04762500        9.707565E+04
       5952.34742969        9.667378E+04
       5954.64918750        9.684130E+04
       5956.95045703        9.789469E+04
       5959.25319141        9.928917E+04
       5961.55690234        1.002068E+05
       5963.86012500        1.008375E+05
       5966.16383594        1.016670E+05
       5968.46950000        1.023010E+05
       5970.77516406        1.021541E+05
       5973.08131641        1.011657E+05
       5975.38844531        9.988815E+04
       5977.69557422        9.910793E+04
       5980.00416797        9.871760E+04
       5982.31276172        9.894496E+04
       5984.62233203        9.997544E+04
       5986.93239063        1.015302E+05
       5989.24342578        1.026802E+05
       5991.55446094        1.033434E+05
       5993.86598438        1.032158E+05
       5996.17848438        1.026341E+05
       5998.49147266        1.020694E+05
       6000.80543750        1.018008E+05
       6003.11940234        1.015724E+05
       6005.43434375        1.016197E+05
       6007.75026172        1.019008E+05
       6010.06666797        1.020910E+05
       6012.38356250        1.018838E+05
       6014.70094531        1.017868E+05
       6017.01930469        1.023607E+05
       6019.33815234        1.037388E+05
       6021.65748828        1.053825E+05
       6023.97731250        1.071182E+05
       6026.29811328        1.084953E+05
       6028.61891406        1.095507E+05
       6030.94166797        1.105197E+05
       6033.26393359        1.113219E+05
       6035.58766406        1.118426E+05
       6037.91090625        1.121825E+05
       6040.23512500        1.130209E+05
       6042.56032031        1.140837E+05
       6044.88600391        1.147737E+05
       6047.21266406        1.147673E+05
       6049.53883594        1.141694E+05
       6051.86696094        1.131482E+05
       6054.19508594        1.120483E+05
       6056.52369922        1.114550E+05
       6058.85328906        1.113955E+05
       6061.18336719        1.114941E+05
       6063.51344531        1.125121E+05
       6065.84498828        1.147507E+05
       6068.17750781        1.170268E+05
       6070.51051563        1.180374E+05
       6072.84254688        1.175001E+05
       6075.17701953        1.160368E+05
       6077.51149219        1.142733E+05
       6079.84645313        1.130566E+05
       6082.18190234        1.127013E+05
       6084.51832813        1.126426E+05
       6086.85524219        1.123372E+05
       6089.19264453        1.121627E+05
       6091.53102344        1.129633E+05
       6093.86989063        1.139318E+05
       6096.20924609        1.141164E+05
       6098.54957813        1.134102E+05
       6100.89039844        1.127516E+05
       6103.23121875        1.131467E+05
       6105.57399219        1.143494E+05
       6107.91627734        1.155292E+05
       6110.25953906        1.164291E+05
       6112.60328906        1.164966E+05
       6114.94801563        1.153945E+05
       6117.29323047        1.134476E+05
       6119.63844531        1.121856E+05
       6121.98463672        1.125337E+05
       6124.33229297        1.136562E+05
       6126.67946094        1.146170E+05
       6129.02760547        1.147454E+05
       6131.37672656        1.131129E+05
       6133.72682422        1.109370E+05
       6136.07643359        1.107890E+05
       6138.42750781        1.135068E+05
       6140.77858203        1.161678E+05
       6143.13063281        1.173445E+05
       6145.48317188        1.170943E+05
       6147.83668750        1.160903E+05
       6150.19069141        1.152236E+05
       6152.54469531        1.136586E+05
       6154.90065234        1.104527E+05
       6157.25563281        1.061113E+05
       6159.61305469        1.024921E+05
       6161.96901172        1.015896E+05
       6164.32741016        1.027915E+05
       6166.68532031        1.040282E+05
       6169.04469531        1.053578E+05
       6171.40407031        1.071340E+05
       6173.76344531        1.089470E+05
       6176.12428516        1.102678E+05
       6178.48610156        1.107846E+05
       6180.84791797        1.098715E+05
       6183.21119922        1.073221E+05
       6185.57350391        1.043048E+05
       6187.93776172        1.025830E+05
       6190.30250781        1.031836E+05
       6192.66774219        1.054947E+05
       6195.03395313        1.071226E+05
       6197.40016406        1.079938E+05
       6199.76735156        1.089683E+05
       6202.13502734        1.100674E+05
       6204.50367969        1.101788E+05
       6206.87233203        1.083362E+05
       6209.24098438        1.048770E+05
       6211.61158984        1.015013E+05
       6213.98317188        9.949799E+04
       6216.35426563        9.897887E+04
       6218.72682422        9.897188E+04
       6221.09889453        9.910404E+04
       6223.47194141        9.918580E+04
       6225.84596484        9.888039E+04
       6228.22145313        9.877029E+04
       6230.59596484        9.984517E+04
       6232.97145313        1.011600E+05
       6235.34791797        1.008782E+05
       6237.72584766        9.946761E+04
       6240.10328906        9.876275E+04
       6242.48170703        1.001081E+05
       6244.86012500        1.020077E+05
       6247.24000781        1.028489E+05
       6249.62037891        1.017594E+05
       6252.00123828        9.979255E+04
       6254.38307422        9.842694E+04
       6256.76442188        9.894432E+04
       6259.14723438        1.019721E+05
       6261.53053516        1.050126E+05
       6263.91481250        1.065289E+05
       6266.29957813        1.072595E+05
       6268.68532031        1.079498E+05
       6271.07106250        1.081912E+05
       6273.45729297        1.077348E+05
       6275.84401172        1.071938E+05
       6278.23268359        1.076227E+05
       6280.62086719        1.095492E+05
       6283.00953906        1.124601E+05
       6285.39869922        1.147437E+05
       6287.78981250        1.151867E+05
       6290.18043750        1.140469E+05
       6292.57203906        1.125465E+05
       6294.96364063        1.118348E+05
       6297.35719531        1.123930E+05
       6299.75075000        1.136949E+05
       6302.14430469        1.152590E+05
       6304.53932422        1.170328E+05
       6306.93434375        1.181149E+05
       6309.33082813        1.180893E+05
       6311.72633594        1.175132E+05
       6314.12428516        1.172479E+05
       6316.52125781        1.180711E+05
       6318.92067188        1.199391E+05
       6321.31910938        1.220817E+05
       6323.71852344        1.238916E+05
       6326.11891406        1.252175E+05
       6328.52028125        1.260668E+05
       6330.92164844        1.259779E+05
       6333.32399219        1.253759E+05
       6335.72633594        1.250286E+05
       6338.12916797        1.251634E+05
       6340.53395313        1.253530E+05
       6342.93825000        1.259887E+05
       6345.34254688        1.273983E+05
       6347.74782031        1.280706E+05
       6350.15407031        1.270845E+05
       6352.56080859        1.246379E+05
       6354.96754688        1.215162E+05
       6357.37526172        1.191151E+05
       6359.78346484        1.191371E+05
       6362.19215625        1.220445E+05
       6364.60133594        1.267605E+05
       6367.01198047        1.311302E+05
       6369.42116016        1.337901E+05
       6371.83278125        1.347150E+05
       6374.24440234        1.342677E+05
       6376.65700000        1.335898E+05
       6379.06959766        1.337740E+05
       6381.48219531        1.347262E+05
       6383.89674609        1.352762E+05
       6386.31129688        1.348800E+05
       6388.72535938        1.338950E+05
       6391.14137500        1.332293E+05
       6393.55739063        1.334684E+05
       6395.97340625        1.342678E+05
       6398.39088672        1.352992E+05
       6400.80885547        1.365253E+05
       6403.22731250        1.371844E+05
       6405.64576953        1.367153E+05
       6408.06569141        1.358688E+05
       6410.48512500        1.355391E+05
       6412.90602344        1.356509E+05
       6415.32643359        1.357648E+05
       6417.74830859        1.361757E+05
       6420.17067188        1.372111E+05
       6422.59352344        1.384645E+05
       6425.01637500        1.383582E+05
       6427.44020313        1.374933E+05
       6429.86403125        1.372794E+05
       6432.28883594        1.381761E+05
       6434.71559375        1.396205E+05
       6437.14186328        1.410517E+05
       6439.56764453        1.422673E+05
       6441.99489063        1.420719E+05
       6444.42360156        1.395890E+05
       6446.85084766        1.369823E+05
       6449.28004688        1.366749E+05
       6451.70924609        1.391052E+05
       6454.13991016        1.419862E+05
       6456.57008594        1.432328E+05
       6459.00123828        1.430894E+05
       6461.43287891        1.429401E+05
       6463.86549609        1.434672E+05
       6466.29811328        1.443102E+05
       6468.73073047        1.447082E+05
       6471.16481250        1.449158E+05
       6473.59938281        1.449969E+05
       6476.03492969        1.443939E+05
       6478.47047656        1.433912E+05
       6480.90651172        1.426221E+05
       6483.34352344        1.420012E+05
       6485.78053516        1.405178E+05
       6488.21852344        1.371431E+05
       6490.65700000        1.327904E+05
       6493.09547656        1.299961E+05
       6495.53492969        1.308416E+05
       6497.97535938        1.346865E+05
       6500.41481250        1.390683E+05
       6502.85621875        1.422749E+05
       6505.29762500        1.443084E+05
       6507.74000781        1.455561E+05
       6510.18336719        1.465489E+05
       6512.62623828        1.470616E+05
       6515.07057422        1.475234E+05
       6517.51539844        1.482214E+05
       6519.96022266        1.490232E+05
       6522.40553516        1.493459E+05
       6524.85231250        1.493008E+05
       6527.29908984        1.491832E+05
       6529.74586719        1.496324E+05
       6532.19362109        1.504844E+05
       6534.64186328        1.513648E+05
       6537.09157031        1.514433E+05
       6539.54078906        1.503563E+05
       6541.99098438        1.487463E+05
       6544.44215625        1.475729E+05
       6546.89283984        1.466402E+05
       6549.34401172        1.453948E+05
       6551.79713672        1.439178E+05
       6554.24977344        1.417700E+05
       6556.70338672        1.388701E+05
       6559.15700000        1.365624E+05
       6561.61207813        1.371926E+05
       6564.06715625        1.408310E+05
       6566.52321094        1.441837E+05
       6568.97828906        1.453787E+05
       6571.43580859        1.460870E+05
       6573.89283984        1.474239E+05
       6576.35035938        1.492293E+05
       6578.80885547        1.506864E+05
       6581.26783984        1.517905E+05
       6583.72780078        1.523746E+05
       6586.18776172        1.517848E+05
       6588.64821094        1.501194E+05
       6591.10963672        1.489652E+05
       6593.57106250        1.492374E+05
       6596.03395313        1.506433E+05
       6598.49684375        1.514950E+05
       6600.96071094        1.511229E+05
       6603.42408984        1.499512E+05
       6605.88893359        1.496152E+05
       6608.35426563        1.507914E+05
       6610.81910938        1.528460E+05
       6613.28639453        1.546641E+05
       6615.75270313        1.554266E+05
       6618.22047656        1.547001E+05
       6620.68873828        1.531836E+05
       6623.15651172        1.519729E+05
       6625.62575000        1.513143E+05
       6628.09596484        1.511537E+05
       6630.56520313        1.514368E+05
       6633.03590625        1.523609E+05
       6635.50709766        1.534704E+05
       6637.97926563        1.539011E+05
       6640.45143359        1.537298E+05
       6642.92457813        1.534940E+05
       6645.39772266        1.535081E+05
       6647.87233203        1.534929E+05
       6650.34694141        1.532117E+05
       6652.82252734        1.528918E+05
       6655.29762500        1.522319E+05
       6657.77321094        1.511655E+05
       6660.25075000        1.501205E+05
       6662.72731250        1.501599E+05
