# Aperture radius = 15.5 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#            BJD_TDB               F_sci             e_F_sci               F_ref             e_F_ref               Pos_X               Pos_Y              FWHM_X              FWHM_Y                Airm              RotAng
    2456855.48725549        2.790231E+06        1.716914E+03        4.603492E+06        2.203496E+03       -2.981455E-03        6.560364E-01       -4.229131E-01        2.855189E+00        1.400347E+00        4.380043E+01
    2456855.48754409        2.789303E+06        1.716613E+03        4.603928E+06        2.203514E+03       -1.977094E-01        1.322632E-01        4.271412E-02        2.945156E+00        1.398628E+00        4.379170E+01
    2456855.48810391        2.786819E+06        1.715801E+03        4.602304E+06        2.203141E+03        4.723140E-02        4.254761E-01       -5.041647E-01        3.015421E+00        1.395355E+00        4.377359E+01
    2456855.48838755        2.789845E+06        1.716716E+03        4.597872E+06        2.202102E+03       -1.187652E-01        1.580505E-01       -2.550626E-01        2.904566E+00        1.393731E+00        4.376384E+01
    2456855.48867106        2.787143E+06        1.715926E+03        4.599918E+06        2.202570E+03       -4.879445E-02        5.090942E-01        8.329153E-02        2.969511E+00        1.392048E+00        4.375367E+01
    2456855.48895482        2.787595E+06        1.716470E+03        4.600641E+06        2.202642E+03       -4.592729E-01        1.163635E-01       -8.151627E-02        3.354131E+00        1.390440E+00        4.374319E+01
    2456855.48923878        2.783855E+06        1.714925E+03        4.595929E+06        2.201585E+03        1.647378E-02        3.110352E-01        1.748776E-01        3.276436E+00        1.388775E+00        4.373224E+01
    2456855.48952217        2.784547E+06        1.715112E+03        4.588241E+06        2.199795E+03       -1.616632E-01        4.800415E-02        6.928396E-02        2.999712E+00        1.387183E+00        4.372092E+01
    2456855.48980593        2.785763E+06        1.715449E+03        4.594289E+06        2.201173E+03       -1.485130E-01        1.567078E-01       -8.160114E-03        3.247469E+00        1.385534E+00        4.370921E+01
    2456855.49008949        2.790147E+06        1.716822E+03        4.598398E+06        2.202191E+03       -9.552002E-02        6.316833E-01       -2.019229E-01        2.917183E+00        1.383962E+00        4.369704E+01
    2456855.49037327        2.787509E+06        1.716060E+03        4.598966E+06        2.202425E+03       -1.977069E-01        5.110779E-01        1.110512E+00        3.171056E+00        1.382330E+00        4.368453E+01
    2456855.49065704        2.784748E+06        1.715182E+03        4.593898E+06        2.201180E+03       -1.498997E-02        6.282349E-01        9.895349E-01        2.875038E+00        1.380706E+00        4.367154E+01
    2456855.49094234        2.787121E+06        1.715908E+03        4.601010E+06        2.202893E+03        1.755375E-02        3.097534E-01        4.925079E-01        2.839706E+00        1.379155E+00        4.365818E+01
    2456855.49122611        2.785504E+06        1.715402E+03        4.594123E+06        2.201224E+03       -1.649773E-02        4.682922E-01        9.400692E-01        2.876238E+00        1.377548E+00        4.364440E+01
    2456855.49150952        2.787447E+06        1.715961E+03        4.600490E+06        2.202711E+03        1.082586E-02        1.759949E-01       -1.646104E-01        2.697301E+00        1.376012E+00        4.363030E+01
    2456855.49179309        2.790281E+06        1.716901E+03        4.599486E+06        2.202480E+03       -2.408340E-02        3.736572E-01       -4.583430E-01        2.870252E+00        1.374421E+00        4.361582E+01
    2456855.49207663        2.782726E+06        1.714540E+03        4.601477E+06        2.202935E+03       -3.126330E-01        4.727478E-01       -4.464035E-01        2.980394E+00        1.372901E+00        4.360087E+01
    2456855.49236040        2.785582E+06        1.715491E+03        4.598443E+06        2.202686E+03       -1.061930E-01        3.364868E-01        1.268306E+00        3.199839E+00        1.371327E+00        4.358539E+01
    2456855.49264379        2.784741E+06        1.715170E+03        4.599853E+06        2.202578E+03        6.386384E-02        1.707153E-01       -6.614223E-01        3.041642E+00        1.369823E+00        4.356969E+01
    2456855.49292755        2.786119E+06        1.715610E+03        4.602521E+06        2.203178E+03       -2.056197E-01        2.784729E-01       -2.395482E-01        2.917032E+00        1.368264E+00        4.355342E+01
    2456855.49321095        2.788340E+06        1.716317E+03        4.602145E+06        2.203118E+03        4.144069E-02        3.139648E-01       -1.996818E-01        2.982946E+00        1.366776E+00        4.353686E+01
    2456855.49349452        2.783749E+06        1.714864E+03        4.594876E+06        2.201425E+03       -2.227045E-02        4.870605E-01        1.225479E+00        3.049236E+00        1.365234E+00        4.351990E+01
    2456855.49377789        2.781303E+06        1.714148E+03        4.599545E+06        2.202470E+03       -2.978637E-01        2.318726E-01        1.010111E+00        3.188647E+00        1.363760E+00        4.350243E+01
    2456855.49406146        2.783909E+06        1.714924E+03        4.597868E+06        2.202091E+03        2.337543E-01        4.011841E-01       -7.242346E-02        2.912378E+00        1.362234E+00        4.348456E+01
    2456855.49434508        2.784641E+06        1.715139E+03        4.591090E+06        2.200451E+03       -5.524070E-01        4.176636E-01        1.089043E+00        3.068163E+00        1.360775E+00        4.346630E+01
    2456855.49462883        2.782112E+06        1.714439E+03        4.601631E+06        2.202972E+03        1.612104E-01        6.351013E-01        5.185671E-01        3.210469E+00        1.359264E+00        4.344765E+01
    2456855.49491026        2.784151E+06        1.714997E+03        4.594873E+06        2.201370E+03       -2.149058E-03        8.193970E-02        1.793971E-01        3.070983E+00        1.357821E+00        4.342857E+01
    2456855.49519402        2.780148E+06        1.713805E+03        4.595881E+06        2.201540E+03       -2.510664E-01        1.938171E-01       -5.542006E-01        3.073574E+00        1.356385E+00        4.340898E+01
    2456855.49547933        2.784549E+06        1.715140E+03        4.601023E+06        2.203423E+03       -5.153668E-01        6.535034E-01       -1.642427E-01        3.277282E+00        1.354897E+00        4.338890E+01
    2456855.49576291        2.784453E+06        1.715106E+03        4.602382E+06        2.203086E+03        1.423525E-01        4.931641E-02       -1.743350E-01        3.088152E+00        1.353417E+00        4.336852E+01
    2456855.49604647        2.782697E+06        1.714623E+03        4.597781E+06        2.202082E+03       -8.650456E-02        5.105896E-01       -5.512333E-02        2.948185E+00        1.352003E+00        4.334764E+01
    2456855.49633005        2.780317E+06        1.713850E+03        4.595045E+06        2.201425E+03        7.869482E-02        5.167236E-01       -2.795935E-02        3.246745E+00        1.350538E+00        4.332649E+01
    2456855.49661364        2.782248E+06        1.714463E+03        4.601729E+06        2.203052E+03        3.227402E-02        4.727173E-01        8.413081E-01        2.838087E+00        1.349139E+00        4.330463E+01
    2456855.49689722        2.784836E+06        1.715294E+03        4.592667E+06        2.200832E+03       -1.404771E-01        4.621887E-01        9.530687E-02        3.074597E+00        1.347689E+00        4.328265E+01
    2456855.49717888        2.787044E+06        1.715881E+03        4.600240E+06        2.202610E+03       -1.467055E-01        1.626587E-01        1.547275E-01        2.943445E+00        1.346304E+00        4.326016E+01
    2456855.49746245        2.779666E+06        1.713619E+03        4.595751E+06        2.201448E+03       -8.072161E-02        3.532410E-01        1.923170E-01        3.150562E+00        1.344927E+00        4.323699E+01
    2456855.49774619        2.784341E+06        1.715123E+03        4.603131E+06        2.203314E+03        3.240835E-01        5.662537E-01        9.073973E-02        3.076344E+00        1.343499E+00        4.321366E+01
    2456855.49802977        2.784635E+06        1.715180E+03        4.602460E+06        2.203170E+03       -2.959404E-01        4.603271E-01       -1.770287E-01        3.308216E+00        1.342079E+00        4.318972E+01
    2456855.49831488        2.783371E+06        1.714816E+03        4.602590E+06        2.203182E+03       -3.101455E-01        6.602783E-01       -1.093919E+00        2.938853E+00        1.340723E+00        4.316530E+01
    2456855.49859865        2.784817E+06        1.715612E+03        4.596727E+06        2.201778E+03       -2.704008E-01        6.420898E-02        1.105583E+00        3.204122E+00        1.339318E+00        4.314056E+01
    2456855.49888030        2.778498E+06        1.713289E+03        4.592280E+06        2.200789E+03       -2.839073E-01        4.797668E-01       -4.503870E-02        3.289208E+00        1.337976E+00        4.311546E+01
    2456855.49916406        2.780004E+06        1.713715E+03        4.597893E+06        2.202012E+03       -4.321219E-02        5.103149E-01       -3.024125E-01        3.038039E+00        1.336586E+00        4.308969E+01
    2456855.49945150        2.775185E+06        1.712251E+03        4.592188E+06        2.200643E+03       -4.026712E-01        6.976929E-01       -6.057262E-02        3.629894E+00        1.335257E+00        4.306327E+01
    2456855.49973527        2.780894E+06        1.714011E+03        4.589466E+06        2.200109E+03       -2.403770E-01       -3.173828E-03        1.092203E+00        3.268685E+00        1.333882E+00        4.303677E+01
    2456855.50001884        2.777209E+06        1.712867E+03        4.592594E+06        2.200747E+03       -3.537621E-02        3.450317E-01        4.800129E-02        3.072534E+00        1.332567E+00        4.300969E+01
    2456855.50030282        2.775460E+06        1.712360E+03        4.590382E+06        2.200339E+03       -3.438350E-01        3.861694E-01       -1.323314E-01        3.479030E+00        1.331205E+00        4.298220E+01
